url_normalized,title,meta_description,http_status,fetch_error
https://www.miragenews.com/operation-uniform-carlow-schinkel-murder-at-1108404/,Operation Uniform Carlow: Schinkel Murder at Capricornia Jail | Mirage News,Detectives from Correctional Services Investigation Unit (CSIU) are appealing for public assistance in relation to the murder of Benn Schinkel in,200,
https://www.mymotherlode.com/news/national/3250202/man-accused-of-killing-15-year-old-was-beaten-by-teens-family-during-melee-in-texas-courtroom.html,,,404,bad_status_or_empty:404
https://keyt.com/news/2023/10/22/man-accused-of-killing-15-year-old-was-beaten-by-teens-family-during-melee-in-texas-courtroom/,Man accused of killing 15-year-old was beaten by teen's family during melee in Texas courtroom | News Channel 3-12,Man accused of killing 15-year-old was beaten by teen's family during melee in Texas courtroom,200,
https://thenewdaily.com.au/news/national/2023/10/23/aukus-discussions-importance-biden-meeting/,,,403,bad_status_or_empty:403
https://www.fox7austin.com/news/air-france-pilot-falls-1000-feet-to-death-in-californias-sequoia-national-park,"Air France pilot falls 1,000 feet to death in California’s Sequoia National Park | FOX 7 Austin","A missing French pilot was found dead last week after officials say he fell 1,000 feet during a hike on Mt. Whitney at Sequoia and Kings National Park in California.",200,
https://www.eveshamjournal.co.uk/news/national/23872116.households-battling-make-homes-safe-flooding-continue-week/,Households battling to make homes safe amid warning flooding could continue | Evesham Journal,"Around 1,250 properties in England have been flooded and an estimated 30,000 properties have been protected.",200,
https://www.aol.co.uk/households-battling-homes-safe-flooding-230123544.html,Your privacy choices,,200,
https://turnto10.com/news/local/senator-reed-visits-the-middle-east,Senator Reed visits the Middle East,"Rhode Island Senator Jack Reed is in the Middle East.He is one of ten bipartisan US lawmakers who spoke on Sunday in Tel Aviv, Israel""We stand here with Israel.",200,
https://www.thestar.com.my/news/nation/2023/10/23/johor-property-sales-set-to-boom-with-announcement,Johor property sales set to boom with announcement | The Star,"ISKANDAR PUTERI: The move to ease the conditions of the Malaysia My Second Home (MM2H) programme coupled with the rise in the cost of rental in Singapore will help to boost the sale of properties in Johor, says state executive councillor Datuk Mohd Jafni Md Shukor.",200,
https://www.miragenews.com/national-skills-agreement-boosts-nsws-journey-1108429/,National Skills Agreement Boosts NSW's Journey to Net Zero | Mirage News,Following the signing of the National Skills Agreement the NSW Government is continuing to bolster its commitment to reskill NSW and transform the,200,
https://www.theaustralian.com.au/business/stockhead/barry-fitzgerald-treks-turned-to-gold-now-will-all-its-christmas-creeks-come-at-once/news-story/090fb8f6b3242c942d2c33269f600a3a?nk=fca04061e672ea00a2b1b12b89ead9f3-1698018391,Early Christmas present for Trek | The Australian,“Garimpeiro” columnist Barry FitzGerald has covered the resources industry for 35 years. Now he’s sharing the benefits of his experience with Stockhead readers.,200,
https://indaily.com.au/news/analysis/2023/10/23/office-stress-levels-soaring/,,,403,bad_status_or_empty:403
https://www.miragenews.com/regional-mobile-coverage-expansion-limited-by-1108403/,Regional Mobile Coverage Expansion Limited by Tower Access | Mirage News,The sale of mobile towers by Australia's three mobile network operators to large specialist tower companies has changed the structure of the mobile,200,
https://www.aol.co.uk/labour-promises-uk-steel-industry-230100914.html,Your privacy choices,,200,
https://www.thelondoner.ca:443/news/local-news/growth-strategies-balance-eyed-for-sarnias-east,"Growth strategies, balance eyed for Sarnia's east | London Free Press","With both residential and Sarnia's research park poised to grow in the city's east, getting the balance right is important, the mayor says.",200,
https://bleedingcool.com/comics/action-comics-1058-preview-superman-doppelganger-drama/,Action Comics #1058 Preview: Superman Doppelganger Drama,"Step into the world of Action Comics #1058, where Clark Kent battles phony Supermen. But can he do it drained of his super strength? Stay tuned, pals...",200,
https://www.maitlandmercury.com.au/story/8396188/million-dollar-reward-to-crack-cold-case-servo-murder/,"Million-dollar reward to crack cold-case servo murder | The Maitland Mercury | Maitland, NSW",A $1 million reward is being offered to help solve the murder of a teenage boy shot dead...,200,
https://www.cairnspost.com.au/motoring/on-the-road/multicar-pileup-causes-major-traffic-delays-on-m4-in-sydney/news-story/06df75f674ce499e5e59f765d2a081ca?nk=a3b25729c0c98ba0b209d855ccb3a3d8-1698018392,"Sydney traffic: Multi-car crash on M4, Major traffic delays, peak hour | The Cairns Post",Heavy traffic is building on a major Sydney road after multi-car pileup before peak hour.,200,
https://www.witn.com/2023/10/21/deputies-find-5-year-old-twins-dead-after-recovering-body-mother-who-had-jumped-bridge/,Deputies find 5-year-old twins dead after recovering body of mother who had jumped from bridge,"Deputies investigating a woman who had jumped to her death into a lake later found her 5-year-old twins dead at her home, authorities said.",200,
https://www.maitlandmercury.com.au/story/8395962/drunk-driver-three-times-limit-when-he-hit-parked-cars-at-islington/?cs=305,"Newcastle police arrest driver who was allegedly three times blood alcohol limit when he crashed into parked cars at Islington | The Maitland Mercury | Maitland, NSW",Police suspended the 31-year-old man's license and he will face court over the crash in November.,200,
https://www.kabc.com/news/tim-scott-switching-campaign-gears-to-reach-wider-audience/,,,404,bad_status_or_empty:404
https://www.yahoo.com/news/ohio-districts-weigh-centralized-grade-021503603.html,Your privacy choices,,200,
https://kixi.com/mick-jagger-makes-surprise-appearance-on-saturday-night-live/,Mick Jagger makes surprise appearance on ‘Saturday Night Live’ – AM 880 KIXI,"Fresh off the release Hackney Diamonds, The Rolling Stones' first new album of original material in 18 years, frontman Mick Jagger showed off his comedy skills",200,
