file_date,cluster_id,gdelt_type,gdelt_date,gdelt_iso3,gdelt_location,gdelt_n_articles,gdelt_confidence,gdelt_lat,gdelt_lon,match_type,distance_km,acled_event_id,acled_date,acled_location,acled_sub_event,acled_actor
2018-01-01,IRN_protests_20171228_c0000,protests,2017-12-28,IRN,"Iran, Tehran, near Imam Khomeini grand mosque",76.0,0.9,35.6893,51.3896,geographic,2.9,IRN15205,2018-01-03,Tehran (Tehran),Peaceful protest,
2018-01-01,HKG_protests_20180101_c0001,protests,2018-01-01,HKG,"China, Hong Kong, government headquarters",7.0,0.9,22.3043,114.1612,no_match,,,,,,
2018-01-01,COD_protests_20171231_c0002,protests,2017-12-31,COD,"Democratic Republic of Congo, Kinshasa, Paroisse Saint Michel Catholic church",7.0,0.9,-4.3841,15.3249,no_match,,,,,,
2018-01-01,ZWE_protests_20171231_c0003,protests,2017-12-31,ZWE,"Zimbabwe, Bulawayo, Central Police Station",2.0,0.8,-20.1547,28.5867,geographic,0.9,ZIM5836,2018-01-02,Bulawayo (Bulawayo),Peaceful protest,
2018-01-01,PAK_labour_strike_20180101_c0004,labour_strike,2018-01-01,PAK,"Pakistan, Punjab, Lahore",2.0,1.0,31.5657,74.3142,geographic,3.3,PAK38762,2018-01-03,Lahore (Punjab),Peaceful protest,
2018-01-01,IND_protests_20180101_c0005,protests,2018-01-01,IND,"India, Jammu and Kashmir, Srinagar, paramilitary camp",2.0,0.9,33.6649,75.163,geographic,36.5,IND25514,2018-01-01,Drabgam (Jammu and Kashmir),Mob violence,
2018-01-01,IRN_protests_20171228_c0006,protests,2017-12-28,IRN,"Iran, Khuzestan, Izeh",1.0,0.8,31.8772,49.8068,geographic,7.5,IRN15198,2018-01-02,Izeh (Khuzestan),Peaceful protest,
2018-01-01,NER_protests_20180101_c0007,protests,2018-01-01,NER,"Niger, Niamey, Parliament building",1.0,0.9,13.5167,2.1167,no_match,,,,,,
2018-01-01,IRN_protests_20171230_c0008,protests,2017-12-30,IRN,"Iran, Lorestan, Doroud",1.0,0.9,33.4851,49.0626,geographic,59.4,IRN293,2018-01-01,Aligudarz (Lorestan),Peaceful protest,
2018-01-01,MAR_protests_20180101_c0009,protests,2018-01-01,MAR,"Morocco, abandoned mine",1.0,0.8,31.3225,-4.971,country_only,346.2,MOR1258,2018-01-02,Rabat (Rabat-Sale-Kenitra),Mob violence,
2018-01-01,IND_labour_strike_20180101_c0010,labour_strike,2018-01-01,IND,"India, Haryana, Gurgaon, Huda Gymkhana Club",1.0,1.0,28.4668,77.0618,geographic,20.3,IND92967,2018-01-03,Delhi - Chanakya Puri (Delhi),Peaceful protest,
2018-01-01,PAK_protests_20180101_c0011,protests,2018-01-01,PAK,"Pakistan, Islamabad, PIMS Children Hospital",1.0,0.8,33.7035,73.0519,geographic,2.1,PAK38738,2018-01-02,Islamabad (Federal Capital Territory),Peaceful protest,
2018-01-01,HKG_protests_20180305_c0012,protests,2018-03-05,HKG,"China, Hong Kong, Hong Kong, Civic Square",1.0,0.8,22.3043,114.1612,no_match,,,,,,
2018-01-01,PAK_protests_20180101_c0013,protests,2018-01-01,PAK,"Pakistan, Balakot, Mansehra-Naran-Jalkhad road",1.0,0.8,34.8563,72.5701,geographic,21.3,PAK38706,2018-01-01,Mingora (Khyber Pakhtunkhwa),Peaceful protest,
2018-01-01,IRN_protests_20171211_c0014,protests,2017-12-11,IRN,"Iran, Tehran",1.0,0.8,35.6893,51.3896,geographic,2.9,IRN15205,2018-01-03,Tehran (Tehran),Peaceful protest,
2018-01-01,PAK_protests_20180101_c0015,protests,2018-01-01,PAK,"Pakistan, Punjab",1.0,0.9,31.0,72.0,geographic,68.8,PAK38714,2018-01-01,Kamalia (Punjab),Peaceful protest,
2018-01-01,NZL_protests_20180101_c0016,protests,2018-01-01,NZL,"New Zealand, Northland",1.0,0.8,-35.3755,173.947,no_match,,,,,,
2018-01-01,IND_protests_20180101_c0017,protests,2018-01-01,IND,"India, Karnataka, Bengaluru",1.0,0.9,12.9768,77.5901,geographic,0.7,IND25530,2018-01-02,Bengaluru (Karnataka),Peaceful protest,
2018-01-01,ZWE_labour_strike_20180101_c0018,labour_strike,2018-01-01,ZWE,"Zimbabwe, Karoi, Zimbabwe German Graphite Mine (Lynx Mine)",1.0,0.9,-17.8178,31.0447,country_only,366.6,ZIM5836,2018-01-02,Bulawayo (Bulawayo),Peaceful protest,
2018-01-01,IND_protests_20180101_c0019,protests,2018-01-01,IND,"India, Uttar Pradesh, Muzaffarnagar, Purbaliyan village",1.0,0.8,29.4667,77.6833,geographic,86.1,IND25499,2018-01-01,Jagadhri (Haryana),Peaceful protest,
2018-01-01,COD_protests_20180121_c0020,protests,2018-01-21,COD,"Congo, Kinshasa, Paroisse Saint Michel Catholic church",1.0,0.9,-1.0,15.0,no_match,,,,,,
2018-01-01,IRN_protests_20171228_c0021,protests,2017-12-28,IRN,"Iran, Kermanshah",1.0,0.9,34.379,46.701,geographic,34.2,IRN307,2018-01-03,Kermanshah (Kermanshah),Peaceful protest,
2018-01-01,GBR_protests_20180101_c0022,protests,2018-01-01,GBR,"United Kingdom, London, Iranian embassy",1.0,0.8,51.5019,-0.1883,no_match,,,,,,
