"id","indicator","indicator.label","freq","freq.label","rep_var","rep_var.label","classification","data.start","data.end","last.update","n.records","n.ref_area","with.region","collection","collection.label","subject","subject.label","database","database.label"
"POP_XWAP_SEX_MTS_NB_Q","POP_XWAP_SEX_MTS_NB","Working-age population by sex and marital status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,MTS",1987,2025,"24/02/2026 07:05:22",99539,78,,"STI","Short-term labour force indicators (STLFS)","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"POP_XWAP_SEX_MTS_NB_M","POP_XWAP_SEX_MTS_NB","Working-age population by sex and marital status (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,MTS",1994,2026,"14/02/2026 08:03:12",28122,15,,"STI","Short-term labour force indicators (STLFS)","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"POP_XWAP_SEX_MTS_DSB_NB_A","POP_XWAP_SEX_MTS_DSB_NB","Working-age population by sex, marital status and disability status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,MTS,DSB",1996,2025,"14/02/2026 08:09:21",79436,124,,"YI","Annual indicators","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_MTS_DSB_NB_Q","POP_XWAP_SEX_MTS_DSB_NB","Working-age population by sex, marital status and disability status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,MTS,DSB",2005,2025,"14/02/2026 08:06:21",15109,24,,"STI","Short-term labour force indicators (STLFS)","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_MTS_LMS_NB_A","POP_XWAP_SEX_MTS_LMS_NB","Working-age population by sex, marital status and labour market status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,MTS,LMS",1970,2025,"25/02/2026 07:05:32",90251,173,,"YI","Annual indicators","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"POP_XWAP_SEX_MTS_LMS_NB_Q","POP_XWAP_SEX_MTS_LMS_NB","Working-age population by sex, marital status and labour market status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,MTS,LMS",1987,2025,"24/02/2026 07:05:22",156082,78,,"STI","Short-term labour force indicators (STLFS)","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"POP_XWAP_SEX_MTS_LMS_NB_M","POP_XWAP_SEX_MTS_LMS_NB","Working-age population by sex, marital status and labour market status (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,MTS,LMS",1994,2026,"14/02/2026 08:03:12",111696,15,,"STI","Short-term labour force indicators (STLFS)","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"POP_XWAP_SEX_DSB_NB_A","POP_XWAP_SEX_DSB_NB","Working-age population by sex and disability status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,DSB",1996,2025,"14/02/2026 08:09:21",8802,124,,"YI","Annual indicators","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_DSB_NB_Q","POP_XWAP_SEX_DSB_NB","Working-age population by sex and disability status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,DSB",2005,2025,"14/02/2026 08:06:21",5113,24,,"STI","Short-term labour force indicators (STLFS)","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_DSB_LMS_NB_A","POP_XWAP_SEX_DSB_LMS_NB","Working-age population by sex, disability status and labour market status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,DSB,LMS",1996,2025,"14/02/2026 08:09:21",35166,125,,"YI","Annual indicators","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_DSB_LMS_NB_Q","POP_XWAP_SEX_DSB_LMS_NB","Working-age population by sex, disability status and labour market status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,DSB,LMS",2005,2025,"14/02/2026 08:06:21",20303,24,,"STI","Short-term labour force indicators (STLFS)","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_LMS_NB_A","POP_XWAP_SEX_LMS_NB","Working-age population by sex and labour market status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,LMS",1970,2025,"25/02/2026 07:05:32",30875,179,,"YI","Annual indicators","POP","Population","LFS","Labour Force Statistics (LFS)"
"POP_XWAP_SEX_LMS_NB_Q","POP_XWAP_SEX_LMS_NB","Working-age population by sex and labour market status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,LMS",1976,2025,"24/02/2026 07:05:22",80036,101,,"STI","Short-term labour force indicators (STLFS)","POP","Population","LFS","Labour Force Statistics (LFS)"
"POP_XWAP_SEX_LMS_NB_M","POP_XWAP_SEX_LMS_NB","Working-age population by sex and labour market status (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,LMS",1976,2026,"14/02/2026 08:03:12",42732,16,,"STI","Short-term labour force indicators (STLFS)","POP","Population","LFS","Labour Force Statistics (LFS)"
"GED_TWAP_HHT_NB_A","GED_TWAP_HHT_NB","Prime-age population by household type (thousands)","A","Annual","GED_TWAP_NB","Prime-age population","HHT",2000,2025,"19/01/2026 19:39:20",7934,150,,"YI","Annual indicators","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"EAP_TEAP_SEX_AGE_NB_A","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","A","Annual","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE",1946,2025,"25/02/2026 20:23:57",340534,229,,"YI","Annual indicators","EAP","Labour force","LFS","Labour Force Statistics (LFS)"
"EAP_TEAP_SEX_AGE_NB_Q","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","Q","Quarterly","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE",1948,2025,"24/02/2026 07:03:29",650115,119,,"STI","Short-term labour force indicators (STLFS)","EAP","Labour force","LFS","Labour Force Statistics (LFS)"
"EAP_TEAP_SEX_AGE_NB_M","EAP_TEAP_SEX_AGE_NB","Labour force by sex and age (thousands)","M","Monthly","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE",1948,2026,"14/02/2026 08:03:12",285783,62,,"STI","Short-term labour force indicators (STLFS)","EAP","Labour force","LFS","Labour Force Statistics (LFS)"
"EAP_TEAP_SEX_AGE_EDU_NB_A","EAP_TEAP_SEX_AGE_EDU_NB","Labour force by sex, age and education (thousands)","A","Annual","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,EDU",1970,2025,"25/02/2026 07:04:40",1564576,207,,"YI","Annual indicators","EAP","Labour force","EMI","Education and Mismatch Indicators (EMI)"
"EAP_TEAP_SEX_AGE_EDU_NB_Q","EAP_TEAP_SEX_AGE_EDU_NB","Labour force by sex, age and education (thousands)","Q","Quarterly","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,EDU",1987,2025,"24/02/2026 07:03:29",2770554,99,,"STI","Short-term labour force indicators (STLFS)","EAP","Labour force","EMI","Education and Mismatch Indicators (EMI)"
"EAP_TEAP_SEX_AGE_EDU_NB_M","EAP_TEAP_SEX_AGE_EDU_NB","Labour force by sex, age and education (thousands)","M","Monthly","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,EDU",1990,2026,"14/02/2026 08:03:12",431417,15,,"STI","Short-term labour force indicators (STLFS)","EAP","Labour force","EMI","Education and Mismatch Indicators (EMI)"
"EAP_TEAP_SEX_AGE_GEO_NB_A","EAP_TEAP_SEX_AGE_GEO_NB","Labour force by sex, age and rural / urban areas (thousands)","A","Annual","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,GEO",1970,2025,"20/02/2026 01:57:58",287379,166,,"YI","Annual indicators","EAP","Labour force","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"EAP_TEAP_SEX_AGE_GEO_NB_Q","EAP_TEAP_SEX_AGE_GEO_NB","Labour force by sex, age and rural / urban areas (thousands)","Q","Quarterly","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,GEO",1987,2025,"21/02/2026 01:12:54",746266,88,,"STI","Short-term labour force indicators (STLFS)","EAP","Labour force","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"EAP_TEAP_SEX_AGE_GEO_NB_M","EAP_TEAP_SEX_AGE_GEO_NB","Labour force by sex, age and rural / urban areas (thousands)","M","Monthly","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,GEO",2000,2026,"14/02/2026 08:03:12",151951,15,,"STI","Short-term labour force indicators (STLFS)","EAP","Labour force","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"EAP_TEAP_SEX_AGE_MTS_NB_A","EAP_TEAP_SEX_AGE_MTS_NB","Labour force by sex, age and marital status (thousands)","A","Annual","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,MTS",1970,2025,"25/02/2026 07:04:40",760293,173,,"YI","Annual indicators","EAP","Labour force","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"EAP_TEAP_SEX_AGE_MTS_NB_Q","EAP_TEAP_SEX_AGE_MTS_NB","Labour force by sex, age and marital status (thousands)","Q","Quarterly","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,MTS",1987,2025,"24/02/2026 07:03:29",855254,78,,"STI","Short-term labour force indicators (STLFS)","EAP","Labour force","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
"EAP_TEAP_SEX_AGE_DSB_NB_A","EAP_TEAP_SEX_AGE_DSB_NB","Labour force by sex, age and disability status (thousands)","A","Annual","EAP_TEAP_NB","Labour force (previous ILO definition)","SEX,AGE,DSB",1996,2025,"14/02/2026 08:07:20",78476,124,,"YI","Annual indicators","EAP","Labour force","DLMI","Disability Labour Market Indicators (DLMI)"
