url,location_name,gdelt_lat,gdelt_lon,geocoded_lat,geocoded_lon,distance_km,is_outlier
https://www.stuff.co.nz/national/100341690/Another-stormy-day-with-severe-gales-heavy-rain-and-coastal-flooding,New Zealand,52.2,0.116667,-41.5000831,172.8344077,18704.3,True
http://www.couriermail.com.au/news/national/severe-storm-warning-issued-for-gold-coast/news-story/a6c4b4515b54df47befde525e4409fe4?nk=67a6c3edd0572463e1a2219ef8431884-1514870236,"Australia, Queensland, Gold Coast, Pimpama",8.0,-2.0,-27.8161679,153.2924022,16610.8,True
http://redwiretimes.com/cow-beh-cow-bu/flash-flood-incidences-rise-130-in-2-years-a-problem-of-inadequate-measures-by-authorities/,country,1.366667,103.8,-24.9380555,-53.4492587,16432.7,True
http://www.abc.net.au/news/2018-01-08/john-f-kennedy-airport-terminal-flooded-by-burst-water-main/9310274,"United States, New York, New York City, John F Kennedy International Airport",-33.8833,151.217,40.6429479,-73.7793734,16007.3,True
https://yubanet.com/scitech/river-flood-risks-increase-around-the-globe-under-future-warming/,unknown,40.809,-73.9613,5.3565834,95.4705535,14769.7,True
http://www.mindanews.com/top-stories/2018/01/surigaonons-greet-new-year-with-flash-floods/,"Philippines, Caraga, Surigao City",38.8951,-77.0364,9.7905028,125.4935697,14120.5,True
http://wwlp.com/2018/01/04/winter-storm-causes-significant-flooding-in-boston/,"United States, Massachusetts, Boston",-17.8178,31.0447,42.3588336,-71.0578303,12310.6,True
http://www.stthomastimesjournal.com/2018/01/12/kettle-creek-issues-flood-warning,"Canada, Port Stanley",-51.7,-57.85,42.6660437,-81.2121712,10732.2,True
http://www.abc.net.au/news/2018-01-08/car-crashes-into-bus-pushing-it-into-river-in-china/9310492,"China, Jiangsu Province, Changzhou City",34.0983,-118.327,31.4178958,119.4787471,10545.1,True
https://www.eastbaytimes.com/2018/01/05/oroville-dam-new-report-details-what-caused-the-near-disaster-last-year/,"United States, California, Oroville Dam",46.0,2.0,39.5371929,-121.485565,8968.7,True
http://www.660news.com/2018/01/14/concerns-about-dam-prompt-evacuations-in-new-brunswick-community/,"Canada, New Brunswick, Musquash",21.1098,-157.531,45.1875148,-66.3370307,8451.6,True
https://www.therecord.com/news-story/8072253-atlantic-canada-recovers-from-flooding-outages/,"Canada, New Brunswick, Musquash",35.0,38.0,45.1875148,-66.3370307,8305.8,True
http://www.tampabay.com/heavy-rain-melting-snow-produce-floods-in-western-germany-ap_world4fdbfbbac04241f4a1bd70909d4b2412,"Germany, North Rhine-Westphalia",18.2766,-66.335,51.4789205,7.5543751,7319.8,True
http://newsday.co.tt/2017/12/31/the-flood-tide/,"Trinidad and Tobago, Barrackpore",51.5,-0.116667,10.1969916,-61.3720856,7153.2,True
