globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
729865968,20170211,20180211000000,010,010,01,1,8,1,8,-1.82982616651418,"Inverell, New South Wales, Australia",AS,AS02,5096,-29.774,151.112,-1579546,20180211000000,https://www.gattonstar.com.au/news/the-true-cost-of-barnabys-actions-is-staggering/3332291/
729865969,20170211,20180211000000,040,040,04,1,8,1,8,1.94174757281553,"Bonn, Nordrhein-Westfalen, Germany",GM,GM07,16554,50.7333,7.1,-1750167,20180211000000,http://fijisun.com.fj/2018/02/11/cop-23-star-badged-a-senior-prefect/
729865971,20170211,20180211000000,075,075,07,2,8,1,8,-9.96441281138792,Thailand,TH,TH,,15,100,TH,20180211000000,https://www.msn.com/en-us/news/world/cambodia-dissident-in-jail-after-thailand-deportation/ar-BBIXY3t
729865973,20170211,20180211000000,1722,172,17,4,5,1,5,-5.42986425339367,Cambodia,CB,CB,,13,105,CB,20180211000000,http://www.bendbulletin.com/home/5993743-151/cambodia-leader-under-suspicion-of-facebook-misuse
729865974,20170211,20180211000000,181,181,18,4,6,1,6,-2.7027027027027,"Dakar, Dakar, Senegal",SG,SG01,,14.7367,-17.6339,-2266494,20180211000000,http://kdwn.com/2018/02/10/boko-haram-releases-13-hostages-after-talks-with-nigeria/
729865990,20170211,20180211000000,016,016,01,1,4,1,4,-6.71586715867159,Saudi Arabia,SA,SA,,25,45,SA,20180211000000,https://www.nytimes.com/2018/02/10/us/politics/guantanamo-sept-11-rishikof.html
729865994,20180112,20180211000000,112,112,11,3,8,1,8,-10.5982905982906,"Sacramento County, California, United States",US,USCA,,38.4666,-121.318,277298,20180211000000,http://www.newsplex.com/content/news/Man-in-US-illegally-convicted-of-killing-California-deputies-473676423.html
729866029,20180204,20180211000000,043,043,04,1,2,1,2,-0.82644628099173,"Johannesburg, Gauteng, South Africa",SF,SF06,77364,-26.2,28.0833,-1240261,20180211000000,http://www.sundaymail.co.zw/chamisa-mudzuri-battle-escalates/
729866031,20180204,20180211000000,0311,031,03,1,10,1,10,0.623052959501562,"Harare, Mashonaland East, Zimbabwe",ZI,ZI04,40197,-17.8178,31.0447,-2312291,20180211000000,http://www.sundaymail.co.zw/dangote-revives-interest-in-zim/
729866032,20180204,20180211000000,050,050,05,1,5,1,5,1.33928571428571,Zimbabwe,ZI,ZI,,-19,29,ZI,20180211000000,http://www.sundaymail.co.zw/investors-smile-on-zimbabwe/
729866033,20180204,20180211000000,043,043,04,1,2,1,2,8.53658536585366,"Suva, Central, Fiji",FJ,FJ01,40197,-18.1333,178.417,-1195133,20180211000000,http://fijisun.com.fj/2018/02/11/strengthened-health-sector-for-fiji-tuvalu/
729866040,20180204,20180211000000,014,014,01,1,10,1,10,-1.71149144254279,"California, United States",US,USCA,,36.17,-119.746,CA,20180211000000,https://www.nbcsandiego.com/news/local/Illinois-Congressman-Luis-Gutierrez-Visits-San-Diego-Border-Wall-DACA-Deadline-473699743.html
729866058,20180204,20180211000000,010,010,01,1,6,1,6,-0.77519379844962,Zimbabwe,ZI,ZI,,-19,29,ZI,20180211000000,http://www.sundaymail.co.zw/health-sector-sneezes/
729866060,20180210,20180211000000,010,010,01,1,6,1,6,-3.30188679245283,"Viti Levu, Fiji (general), Fiji",FJ,FJ00,40204,-18,178,-1196743,20180211000000,http://fijitimes.com/story.aspx?id=433983
729866062,20180211,20180211000000,040,040,04,1,2,1,2,2.4,"Cape Town, Western Cape, South Africa",SF,SF11,77317,-33.9167,18.4167,-1217214,20180211000000,http://www.sundaymail.co.zw/mining-sector-briefs-from-cape-town-indigenisation-thresholds-explained-country-gets-africas-first-lead-battery-plant-zim-to-host-mining-indaba-on-february-28/
729866065,20180211,20180211000000,080,080,08,2,2,1,2,-7.43243243243243,"Driefontein, Free State, South Africa",SF,SF03,77365,-29.5,25.7833,-1223817,20180211000000,https://www.enca.com/south-africa/traditional-healer-sentenced-to-life-behind-bars
729866070,20180211,20180211000000,046,046,04,1,1,1,1,6.11111111111111,Armenia,AM,AM,,40,45,AM,20180211000000,http://wam.ae/en/details/1395302666345
729866074,20180211,20180211000000,112,112,11,3,4,1,4,-2.49653259361997,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20180211000000,http://www.armidaleexpress.com.au/story/5220760/the-old-laws-helping-cops-shut-down-bikie-clubhouses-in-nsw/
729866077,20180211,20180211000000,036,036,03,1,12,1,12,-2.9233870967742,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20180211000000,http://m.philstar.com/breakingnews/show/b40163b5b27919833a92f986b1ff6705?t=k6k3pon5d9uug532sru7d572k3
729866079,20180211,20180211000000,100,100,10,3,6,1,6,-2.18295218295218,India,IN,IN,,20,77,IN,20180211000000,http://www.wtma.com/news/what-we-learned-in-the-waymo-v-uber-case/
729866083,20180211,20180211000000,036,036,03,1,10,1,10,1.58924205378973,"Gaborone, South East, Botswana",BC,BC09,6330,-24.6464,25.9119,-1397372,20180211000000,http://www.sundaymail.co.zw/history-beckons-as-ed-visits-botswana/
729866085,20180211,20180211000000,040,040,04,1,4,1,4,-1.47874306839186,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20180211000000,https://infotel.ca/newsitem/conservatives-pipeline-politics/cp829306851
729866086,20180211,20180211000000,046,046,04,1,1,1,1,-5.51724137931034,"Saskatoon, Saskatchewan, Canada",CA,CA11,154724,52.1333,-106.667,-573213,20180211000000,http://thestarphoenix.com/news/local-news/gerald-stanley-trial-premier-moe-acknowledges-the-pain-felt-by-the-boushie-family-after-acquittal
729866087,20180211,20180211000000,051,051,05,1,2,1,2,0.2710027100271,"Saskatchewan, Manitoba, Canada",CA,CA03,154724,52.15,-97.7167,-575075,20180211000000,http://www.newsoptimist.ca/news/local-news/justice-for-colten-boushie-rally-in-nb-1.23170745
729866092,20180211,20180211000000,112,112,11,3,4,1,4,0.581395348837201,"Toronto, Ontario, Canada",CA,CA08,12686,43.6667,-79.4167,-574890,20180211000000,http://torontosun.com/opinion/columnists/marin-ontario-pc-leader-candidates-have-their-work-cut-out-for-them
729866097,20180211,20180211000000,051,051,05,1,2,1,2,6.49350649350649,China,CH,CH,,35,105,CH,20180211000000,http://northcountrynow.com/featured_events/ncpr-encourages-first-time-contributors-chance-win-echo-plus-during-special-drive
729866101,20180211,20180211000000,042,042,04,1,1,1,1,-2.65486725663717,"Ohio, United States",US,USOH,,40.3736,-82.7755,OH,20180211000000,http://www.thenews-messenger.com/story/news/2018/02/10/two-police-officers-killed-columbus-suburb/326409002/
729866106,20180211,20180211000000,174,174,17,4,6,1,6,-9.56937799043061,"Florida, United States",US,USFL,,27.8333,-81.717,FL,20180211000000,http://www.newsplex.com/content/news/UPDATE-Aug-12-assault-suspect-extradited-to-Charlottesville-471161853.html
729866110,20180211,20180211000000,190,190,19,4,4,2,4,-10.0671140939597,"Westerville, Ohio, United States",US,USOH,OH049,40.1262,-82.9291,1061759,20180211000000,http://kpic.com/news/nation-world/two-officer-injured-after-shooting-in-westerville
729866111,20180211,20180211000000,190,190,19,4,10,1,10,-7.67326732673267,"City Of Westerville, Ohio, United States",US,USOH,,40.1241,-82.9205,1086118,20180211000000,http://www.daytondailynews.com/news/local/officer-killed-critical-condition-after-shooting-westerville/lXimlHlunYCNx7yg48T1wL/
729866112,20180211,20180211000000,190,190,19,4,3,3,3,-13.5956863840402,"Atlanta, Georgia, United States",US,USGA,GA121,33.749,-84.388,351615,20180211000000,http://nationalpost.com/pmn/news-pmn/the-latest-georgia-town-shaken-in-shooting-death-of-officer
729866119,20180211,20180211000000,030,030,03,1,10,1,10,2.11864406779661,,,,,,,,20180211000000,http://www.newsplex.com/content/news/ACP-sues-Wintergreen-landowners-under-eminent-domain-473699543.html
729866122,20180211,20180211000000,042,042,04,1,10,1,10,0,"Davao City, Davao City, Philippines",RP,RPC3,24267,7.07306,125.613,-2424066,20180211000000,http://m.philstar.com/314191/show/79a7ec62629209e3204b750fa72eb072?t=k6k3pon5d9uug532sru7d572k3
