model,n_train,n_test,n_pos_test,avg_precision,precision,recall,f1,n_fp,n_fn,threshold
disruption_general,7997,2000,559,0.9934,0.9506,0.9642,0.9574,28,20,0.4
disruption_flood,7997,2000,67,1.0,1.0,1.0,1.0,0,0,0.4
disruption_drought,7997,2000,48,1.0,1.0,1.0,1.0,0,0,0.4
disruption_cyclone_huricane,7997,2000,50,1.0,1.0,1.0,1.0,0,0,0.4
disruption_extreme_heat,7997,2000,34,1.0,1.0,1.0,1.0,0,0,0.4
disruption_landslide,7997,2000,46,1.0,1.0,1.0,1.0,0,0,0.4
disruption_earthquake,7997,2000,51,1.0,1.0,1.0,1.0,0,0,0.4
disruption_mine_accident,7997,2000,30,0.9744,0.7895,1.0,0.8824,8,0,0.4
disruption_labour_strike,7997,2000,45,0.9851,1.0,0.9778,0.9888,0,1,0.4
disruption_protests,7997,2000,74,0.9995,1.0,0.973,0.9863,0,2,0.4
disruption_trade_embargo,7997,2000,48,1.0,1.0,1.0,1.0,0,0,0.4
disruption_country_relations,7997,2000,49,0.931,0.6857,0.9796,0.8067,22,1,0.4
disruption_tariffs,7997,2000,38,1.0,1.0,1.0,1.0,0,0,0.4
