disruption_type,url_count,url_bucket
protests,1,1
tariffs,1,1
country_relations,1,1
protests,1,1
protests,1,1
earthquake,1,1
protests,1,1
flood,6,6+
flood,2,2-3
protests,7,6+
protests,6,6+
protests,2,2-3
tariffs,1,1
flood,1,1
protests,11,6+
flood,4,4-5
protests,1,1
drought,1,1
flood,1,1
country_relations,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
protests,1,1
protests,1,1
protests,1,1
labour_strike,1,1
protests,1,1
protests,1,1
protests,1,1
protests,1,1
protests,1,1
flood,1,1
flood,1,1
flood,1,1
protests,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
tariffs,1,1
country_relations,1,1
protests,3,2-3
protests,1,1
protests,1,1
country_relations,1,1
country_relations,1,1
extreme_heat,1,1
country_relations,1,1
country_relations,3,2-3
country_relations,1,1
country_relations,1,1
country_relations,4,4-5
labour_strike,1,1
protests,1,1
tariffs,3,2-3
protests,1,1
flood,1,1
country_relations,8,6+
cyclone_hurricane,1,1
country_relations,1,1
flood,1,1
country_relations,1,1
protests,1,1
protests,2,2-3
country_relations,1,1
flood,1,1
trade_embargo,1,1
protests,1,1
country_relations,1,1
trade_embargo,1,1
country_relations,1,1
cyclone_hurricane,1,1
protests,1,1
country_relations,1,1
cyclone_hurricane,1,1
cyclone_hurricane,1,1
trade_embargo,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
country_relations,1,1
extreme_heat,1,1
extreme_heat,1,1
drought,2,2-3
tariffs,1,1
trade_embargo,1,1
labour_strike,3,2-3
flood,1,1
country_relations,1,1
tariffs,1,1
protests,1,1
protests,1,1
cyclone_hurricane,1,1
protests,1,1
unknown,1,1
protests,1,1
unknown,1,1
cyclone_hurricane,1,1
flood,1,1
country_relations,4,4-5
unknown,1,1
flood,1,1
unknown,1,1
tariffs,1,1
protests,1,1
country_relations,1,1
labour_strike,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
country_relations,1,1
protests,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
trade_embargo,4,4-5
unknown,1,1
country_relations,7,6+
unknown,1,1
unknown,1,1
unknown,1,1
protests,1,1
unknown,1,1
trade_embargo,1,1
flood,1,1
flood,1,1
unknown,1,1
trade_embargo,1,1
unknown,1,1
unknown,1,1
country_relations,1,1
protests,1,1
country_relations,1,1
protests,1,1
earthquake,2,2-3
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
unknown,1,1
drought,1,1
country_relations,2,2-3
extreme_heat,1,1
unknown,1,1
protests,1,1
protests,1,1
unknown,1,1
protests,1,1
unknown,1,1
