globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1135248006,20221023,20231023000000,020,020,02,1,10,1,10,-1.34228187919463,,,,,,,,20231023000000,https://www.miragenews.com/operation-uniform-carlow-schinkel-murder-at-1108404/
1135248008,20221023,20231023000000,112,112,11,3,10,1,10,-14.6341463414634,"Harris County, Texas, United States",US,USTX,,29.8336,-95.4002,1383886,20231023000000,https://www.mymotherlode.com/news/national/3250202/man-accused-of-killing-15-year-old-was-beaten-by-teens-family-during-melee-in-texas-courtroom.html
1135248010,20221023,20231023000000,112,112,11,3,10,1,10,-15.748031496063,"Bexar County, Texas, United States",US,USTX,,29.4502,-98.517,1383800,20231023000000,https://keyt.com/news/2023/10/22/man-accused-of-killing-15-year-old-was-beaten-by-teens-family-during-melee-in-texas-courtroom/
1135248015,20230923,20231023000000,010,010,01,1,2,2,2,-0.90965272912343,Cook Islands,CW,CW,,-16.083333,-161.583333,CW,20231023000000,https://thenewdaily.com.au/news/national/2023/10/23/aukus-discussions-importance-biden-meeting/
1135248017,20231016,20231023000000,190,190,19,4,12,2,12,-1.78173719376392,"California, United States",US,USCA,,36.17,-119.746,CA,20231023000000,https://www.fox7austin.com/news/air-france-pilot-falls-1000-feet-to-death-in-californias-sequoia-national-park
1135248019,20231016,20231023000000,036,036,03,1,91,13,91,-5.29858758243749,"Aberdeenshire, Aberdeenshire, United Kingdom",UK,UKT6,40171,57.1667,-2.66667,-2587759,20231023000000,https://www.eveshamjournal.co.uk/news/national/23872116.households-battling-make-homes-safe-flooding-continue-week/
1135248021,20231016,20231023000000,036,036,03,1,2,2,2,-4.83233641471814,"Aberdeenshire, Aberdeenshire, United Kingdom",UK,UKT6,40171,57.1667,-2.66667,-2587759,20231023000000,https://www.aol.co.uk/households-battling-homes-safe-flooding-230123544.html
1135248025,20231016,20231023000000,051,051,05,1,2,1,2,-0.76628352490422,Iran,IR,IR,,32,53,IR,20231023000000,https://turnto10.com/news/local/senator-reed-visits-the-middle-east
1135248027,20231022,20231023000000,036,036,03,1,10,1,10,1.63487738419619,Singapore,SN,SN,,1.366667,103.8,SN,20231023000000,https://www.thestar.com.my/news/nation/2023/10/23/johor-property-sales-set-to-boom-with-announcement
1135248035,20231023,20231023000000,020,020,02,1,5,1,5,6.78294573643411,,,,,,,,20231023000000,https://www.miragenews.com/national-skills-agreement-boosts-nsws-journey-1108429/
1135248039,20231023,20231023000000,042,042,04,1,2,1,2,1.93905817174515,"Christmas Creek, Western Australia, Australia",AS,AS08,40197,-18.4833,125.383,-1565576,20231023000000,https://www.theaustralian.com.au/business/stockhead/barry-fitzgerald-treks-turned-to-gold-now-will-all-its-christmas-creeks-come-at-once/news-story/090fb8f6b3242c942d2c33269f600a3a?nk=fca04061e672ea00a2b1b12b89ead9f3-1698018391
1135248045,20231023,20231023000000,190,190,19,4,3,1,3,-4.71777590564448,Australia,AS,AS,,-25,135,AS,20231023000000,https://indaily.com.au/news/analysis/2023/10/23/office-stress-levels-soaring/
1135248047,20231023,20231023000000,060,060,06,2,10,1,10,-1.18811881188119,Australia,AS,AS,,-25,135,AS,20231023000000,https://www.miragenews.com/regional-mobile-coverage-expansion-limited-by-1108403/
1135248049,20231023,20231023000000,036,036,03,1,3,2,3,-0.153846153846153,"Port Talbot, Neath Port Talbot, United Kingdom",UK,UKY5,40186,51.6,-3.78333,-2605653,20231023000000,https://www.aol.co.uk/labour-promises-uk-steel-industry-230100914.html
1135248050,20231023,20231023000000,042,042,04,1,12,1,8,0,"Sarnia, Ontario, Canada",CA,CA08,12661,42.9667,-82.4,-573205,20231023000000,https://www.thelondoner.ca:443/news/local-news/growth-strategies-balance-eyed-for-sarnias-east
1135248053,20231023,20231023000000,042,042,04,1,20,1,10,0.65573770491803,China,CH,CH,,35,105,CH,20231023000000,https://bleedingcool.com/comics/action-comics-1058-preview-superman-doppelganger-drama/
1135248058,20231023,20231023000000,023,023,02,1,10,1,10,-7.23981900452484,,,,,,,,20231023000000,https://www.maitlandmercury.com.au/story/8396188/million-dollar-reward-to-crack-cold-case-servo-murder/
1135248059,20231023,20231023000000,043,043,04,1,20,2,20,-10.5633802816901,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20231023000000,https://www.cairnspost.com.au/motoring/on-the-road/multicar-pileup-causes-major-traffic-delays-on-m4-in-sydney/news-story/06df75f674ce499e5e59f765d2a081ca?nk=a3b25729c0c98ba0b209d855ccb3a3d8-1698018392
1135248060,20231023,20231023000000,043,043,04,1,10,1,10,-3.2258064516129,"Seminole County, Florida, United States",US,USFL,,28.7086,-81.2081,303665,20231023000000,https://www.witn.com/2023/10/21/deputies-find-5-year-old-twins-dead-after-recovering-body-mother-who-had-jumped-bridge/
1135248062,20231023,20231023000000,173,173,17,4,10,1,10,-7.83132530120482,,,,,,,,20231023000000,https://www.maitlandmercury.com.au/story/8395962/drunk-driver-three-times-limit-when-he-hit-parked-cars-at-islington/?cs=305
1135248069,20231023,20231023000000,020,020,02,1,9,3,9,-0.8130081300813,"White House, District of Columbia, United States",US,USDC,,38.8951,-77.0364,531871,20231023000000,https://www.kabc.com/news/tim-scott-switching-campaign-gears-to-reach-wider-audience/
1135248079,20231023,20231023000000,051,051,05,1,3,1,3,3.34168755221387,"Cincinnati, Ohio, United States",US,USOH,OH061,39.162,-84.4569,1066650,20231023000000,https://www.yahoo.com/news/ohio-districts-weigh-centralized-grade-021503603.html
1135248083,20231023,20231023000000,042,042,04,1,8,2,8,0,Spain,SP,SP,,40,-4,SP,20231023000000,https://kixi.com/mick-jagger-makes-surprise-appearance-on-saturday-night-live/
1135248085,20231023,20231023000000,036,036,03,1,110,11,110,0.319488817891369,,,,,,,,20231023000000,https://www.cotswoldjournal.co.uk/news/national/23872118.rail-replacement-buses-sunak-pumps-150m-hs2-cash-local-services/
1135248086,20231023,20231023000000,036,036,03,1,10,1,10,6.45161290322581,United Kingdom,UK,UK,,54,-4,UK,20231023000000,https://evertiq.se/nanews/47075
1135248087,20231023,20231023000000,042,042,04,1,10,1,10,5.12820512820513,,,,,,,,20231023000000,https://www.ephotozine.com/photo/lake-vyrnwy-sunset-67917015
