globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1149157554,20230101,20240101000000,051,051,05,1,2,1,2,0,France,FR,FR,,46,2,FR,20240101000000,https://nichegamer.com/future-boy-conan-getting-stage-play/
1149157558,20230101,20240101000000,010,010,01,1,2,1,2,-5.71428571428572,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,28554,50.4333,30.5167,-1044367,20240101000000,https://www.channelnewsasia.com/world/ukraine-zelenskyy-vows-wrath-russia-2024-putin-4019246
1149157562,20231225,20240101000000,112,112,11,3,3,1,3,-1.41242937853107,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20240101000000,https://news.yahoo.com/venezuelan-president-nicolas-maduro-mobilizes-223927592.html
1149157574,20240101,20240101000000,042,042,04,1,10,1,10,-1.01010101010101,,,,,,,,20240101000000,https://www.reddeeradvocate.com/local-news/online-fundraisers-support-families-of-didsbury-teens-killed-in-collision-7291394
1149157576,20240101,20240101000000,020,020,02,1,18,2,18,-18.2808552375197,"Boonoke, New South Wales, Australia",AS,AS02,154621,-35.2833,145.117,-1560713,20240101000000,https://www.southcoastregister.com.au/story/8473412/police-raid-campbelltown-home-after-alleged-domestic-violence-attack/?cs=300
1149157577,20240101,20240101000000,036,036,03,1,2,1,2,-5.80357142857143,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20240101000000,https://www.watoday.com.au/topic/royalty-1myy
1149157579,20240101,20240101000000,060,060,06,2,2,1,2,-1.16666666666666,"Sydney, New South Wales, Australia",AS,AS02,154637,-33.8833,151.217,-1603135,20240101000000,https://www.watoday.com.au/traveller/reviews-and-advice/how-airport-slots-work-and-how-they-affect-us-especially-in-australia-20231228-p5eu2c.html
1149157580,20240101,20240101000000,057,057,05,1,8,1,8,-2.11132437619962,Azerbaijan,AJ,AJ,,40.5,47.5,AJ,20240101000000,https://www.eurasiareview.com/01012024-peace-in-south-caucasus-is-good-for-ukraine-and-the-west-and-bad-for-russia-oped/
1149157583,20240101,20240101000000,110,110,11,3,10,1,10,-6.65760869565217,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101000000,https://www.aol.co.uk/uk-considering-air-strikes-houthi-221929886.html
1149157584,20240101,20240101000000,042,042,04,1,20,2,20,-1.23609394313968,Mexico,MX,MX,,23,-102,MX,20240101000000,https://www.timescolonist.com/animal-stories/wolves-sharks-and-bears-a-look-at-bcs-top-animal-stories-of-2023-8012753
1149157588,20240101,20240101000000,042,042,04,1,40,1,40,-5.23255813953488,"Hangzhou, Zhejiang, China",CH,CH02,13319,30.2553,120.169,-1908366,20240101000000,https://590kqnt.iheart.com/content/2023-12-31-us-navy-sank-3-houthi-boats-attacking-merchant-vessel/
1149157591,20240101,20240101000000,100,100,10,3,10,1,10,-1.67364016736401,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://www.theblaze.com/columns/opinion/macintyre-you-gotta-serve-somebody
1149157593,20240101,20240101000000,042,042,04,1,2,1,2,1.30597014925373,Colombia,CO,CO,,4,-72,CO,20240101000000,https://www.wabi.tv:443/2023/12/31/folks-bangor-reflect-2023-before-ringing-2024/
1149157599,20240101,20240101000000,040,040,04,1,78,13,78,-6.32795573289533,Iran,IR,IR,,32,53,IR,20240101000000,https://www.warringtonguardian.co.uk/news/national/24020370.uk-considering-air-strikes-houthi-rebels-stop-red-sea-attacks---reports/
1149157602,20240101,20240101000000,043,043,04,1,8,1,8,2.40549828178694,"Randers, Midtjylland, Denmark",DA,DA18,15012,56.4607,10.0364,-2749059,20240101000000,https://www.aol.co.uk/queen-margrethe-ii-denmark-praised-210711967.html
1149157603,20240101,20240101000000,042,042,04,1,5,1,5,-1.05680317040952,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,20240101000000,https://www.washingtontimes.com/news/2023/dec/31/indiana-republican-todd-huston-calls-for-limited-f/
1149157604,20240101,20240101000000,043,043,04,1,6,1,6,5.66037735849056,Kosovo,KV,KV,,42.583333,21,KV,20240101000000,https://www.stratford-herald.com/news/gregory-doran-knighted-in-new-year-honours-9346680/
1149157606,20240101,20240101000000,154,154,15,4,5,1,5,-5.22388059701492,"California, United States",US,USCA,,36.17,-119.746,CA,20240101000000,https://www.sbsun.com/2023/12/31/lowriders-as-well-as-those-with-expired-registration-tags-get-a-break-2024-rings-in-new-traffic-laws/
1149157607,20240101,20240101000000,042,042,04,1,2,1,2,-5.57491289198606,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101000000,https://www.telegraph.co.uk/opinion/2023/12/31/2024-will-be-a-critical-year-for-the-west-and-the-world/
1149157614,20240101,20240101000000,042,042,04,1,2,1,2,-2.96296296296296,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20240101000000,https://news.yahoo.com/eve-fireworks-london-watch-live-233000420.html
1149157618,20240101,20240101000000,010,010,01,1,12,2,12,-4.49438202247191,"Capitol Hill, District of Columbia, United States",US,USDC,,38.889,-77.0003,529313,20240101000000,https://www.aol.com/graham-calls-biden-administration-tell-225109435.html
1149157619,20240101,20240101000000,020,020,02,1,10,2,10,-1.78173719376392,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20240101000000,https://www.thompsoncitizen.net/national-news/senior-military-leader-canadians-overly-comfortable-as-global-security-shifts-8043539
1149157621,20240101,20240101000000,036,036,03,1,5,1,5,3.14814814814814,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,20240101000000,https://news.yahoo.com/crown-prince-frederik-know-next-230453131.html
1149157627,20240101,20240101000000,042,042,04,1,2,1,2,-1.3986013986014,United Kingdom,UK,UK,,54,-4,UK,20240101000000,https://www.aol.co.uk/rachel-riley-reflects-eve-feeling-214528229.html
1149157632,20240101,20240101000000,173,173,17,4,4,1,4,-2.660406885759,"Montego Bay, Saint James, Jamaica",JM,JM12,18429,18.4712,-77.9188,-3752832,20240101000000,https://jamaicans.com/top-local-jamaica-news-stories-2023/
1149157641,20240101,20240101000000,036,036,03,1,4,1,4,1.08808950877894,"Mountain View, California, United States",US,USCA,,34.5064,-117.359,246299,20240101000000,https://www.funkytaurusmedia.com/shop_content.php?coID=3&XTCsid=h3bv39769s593c70pnjmtp7gj3
1149157644,20240101,20240101000000,042,042,04,1,10,1,10,-1.73913043478261,,,,,,,,20240101000000,https://www.echo-news.co.uk/news/24020353.chadwell-st-mary-crash-bus-moped-new-years-eve/
1149157645,20240101,20240101000000,057,057,05,1,10,1,10,1.29449838187703,"Hanover, Niedersachsen, Germany",GM,GM06,40698,52.3667,9.71667,-1785903,20240101000000,https://www.funkytaurusmedia.com/shop_content.php?coID=2&XTCsid=h3bv39769s593c70pnjmtp7gj3
1149157648,20240101,20240101000000,111,111,11,3,4,2,4,-5.89123867069486,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101000000,https://www.newcastleherald.com.au/story/8473529/houthi-ships-sunk-as-us-repels-attack-on-cargo-vessel/
1149157649,20240101,20240101000000,130,130,13,3,10,1,10,-13.4146341463415,Ukraine,UP,UP,,49,32,UP,20240101000000,https://news.yahoo.com/dozens-shaheds-flying-over-ukraine-223111473.html
1149157654,20240101,20240101000000,060,060,06,2,1,1,1,-1.53139356814701,"Kwara, Zamfara, Nigeria",NI,NI57,191424,12.3337,6.28493,-2017020,20240101000000,https://igberetvnews.com/1460357/ndlea-arrests-qatar-based-drug-trafficker-intercepts-consignments/
1149157663,20240101,20240101000000,042,042,04,1,10,1,10,-6.97230181470869,Israel,IS,IS,,31.5,34.75,IS,20240101000000,https://themedialine.org/mideast-mindset/the-concept-of-peace-at-any-cost-brought-us-disaster/
1149157669,20240101,20240101000000,051,051,05,1,10,1,10,-0.45967404931049,"Luhansk, Luhans'ka Oblast', Ukraine",UP,UP14,25090,48.567,39.3171,-1045160,20240101000000,https://news.yahoo.com/zelenskyy-next-enemy-experience-fury-220100347.html
1149157671,20240101,20240101000000,020,020,02,1,2,1,2,-7.71929824561404,"North Carolina, United States",US,USNC,,35.6411,-79.8431,NC,20240101000000,https://news.yahoo.com/north-carolina-pastor-attempted-stick-212404661.html
1149157673,20240101,20240101000000,036,036,03,1,10,1,10,2.95857988165681,"Brooklyn, Washington, United States",US,USWA,WA049,46.7762,-123.51,1510840,20240101000000,https://www.funkytaurusmedia.com/product_info.php?info=p50_funky-taurus-----george-clinton-----ufo-brooklyn---------exclusiv.html&XTCsid=h3bv39769s593c70pnjmtp7gj3
1149157674,20240101,20240101000000,036,036,03,1,2,1,2,6.15942028985507,"Tennessee, United States",US,USTN,,35.7449,-86.7489,TN,20240101000000,https://www.ksks.com/news/new-years-eve-live-nashvilles-big-bash-reveals-star-studded-collabs/
1149157675,20240101,20240101000000,040,040,04,1,5,1,5,3.84615384615385,,,,,,,,20240101000000,https://news.yahoo.com/hancock-kelley-2023-end-review-221301583.html
1149157677,20240101,20240101000000,040,040,04,1,4,1,4,-1.45939086294416,"Phoenix, Arizona, United States",US,USAZ,AZ013,33.4484,-112.074,44784,20240101000000,https://screenrant.com/harry-potter-chamber-of-secrets-scenes-important-later/
1149157682,20240101,20240101000000,042,042,04,1,5,1,5,-6.06060606060606,,,,,,,,20240101000000,https://news.yahoo.com/motorcyclist-hits-traffic-sign-during-185800095.html
1149157689,20240101,20240101000000,043,043,04,1,4,1,4,6.8235294117647,"Chattanooga, Tennessee, United States",US,USTN,TN065,35.0456,-85.3097,1307240,20240101000000,https://103gbfrocks.com/ixp/76/p/this-stunning-underground-waterfall-in-tennessee-is-the-tallest-in-the-united-states/
