globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl,url_normalized,title,meta_description,http_status,fetch_error
1149157588,20240101,20240101000000,042,042,04,1,40,1,40,-5.23255813953488,"Hangzhou, Zhejiang, China",CH,CH02,13319,30.2553,120.169,-1908366,20240101000000,https://590kqnt.iheart.com/content/2023-12-31-us-navy-sank-3-houthi-boats-attacking-merchant-vessel/,https://590kqnt.iheart.com/content/2023-12-31-us-navy-sank-3-houthi-boats-attacking-merchant-vessel/,U.S. Navy Sank 3 Houthi Boats Attacking Merchant Vessel | 590 KQNT,The boats fired on U.S. helicopters responding to the merchant vessel's distress call.,200,
1149157591,20240101,20240101000000,100,100,10,3,10,1,10,-1.67364016736401,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://www.theblaze.com/columns/opinion/macintyre-you-gotta-serve-somebody,https://www.theblaze.com/columns/opinion/macintyre-you-gotta-serve-somebody,MacIntyre: You gotta serve somebody | Blaze Media,The realization that wokeness has transformed itself into a form of pseudo-religion has become increasingly obvious to conservatives. The ceremonies and festivals that occur during the month of June make it hard to ignore as Pride celebrations are increasingly treated as a hedonistic sacrament. The ...,200,
1149157593,20240101,20240101000000,042,042,04,1,2,1,2,1.30597014925373,Colombia,CO,CO,,4,-72,CO,20240101000000,https://www.wabi.tv:443/2023/12/31/folks-bangor-reflect-2023-before-ringing-2024/,https://www.wabi.tv:443/2023/12/31/folks-bangor-reflect-2023-before-ringing-2024/,"Folks in Bangor reflect on 2023, before ringing in 2024","Folks in Bangor reflect on 2023, before ringing in 2024",200,
1149157599,20240101,20240101000000,040,040,04,1,78,13,78,-6.32795573289533,Iran,IR,IR,,32,53,IR,20240101000000,https://www.warringtonguardian.co.uk/news/national/24020370.uk-considering-air-strikes-houthi-rebels-stop-red-sea-attacks---reports/,https://www.warringtonguardian.co.uk/news/national/24020370.uk-considering-air-strikes-houthi-rebels-stop-red-sea-attacks---reports/,UK ‘considering air strikes’ on Houthi rebels to stop Red Sea attacks – reports | Warrington Guardian,Defence Secretary Grant Shapps said the Government would not hesitate to take ‘direct action’ to prevent further attacks.,200,
1149157602,20240101,20240101000000,043,043,04,1,8,1,8,2.40549828178694,"Randers, Midtjylland, Denmark",DA,DA18,15012,56.4607,10.0364,-2749059,20240101000000,https://www.aol.co.uk/queen-margrethe-ii-denmark-praised-210711967.html,https://www.aol.co.uk/queen-margrethe-ii-denmark-praised-210711967.html,Your privacy choices,,200,
1149157603,20240101,20240101000000,042,042,04,1,5,1,5,-1.05680317040952,"Indiana, United States",US,USIN,,39.8647,-86.2604,IN,20240101000000,https://www.washingtontimes.com/news/2023/dec/31/indiana-republican-todd-huston-calls-for-limited-f/,https://www.washingtontimes.com/news/2023/dec/31/indiana-republican-todd-huston-calls-for-limited-f/,,,403,bad_status_or_empty:403
1149157604,20240101,20240101000000,043,043,04,1,6,1,6,5.66037735849056,Kosovo,KV,KV,,42.583333,21,KV,20240101000000,https://www.stratford-herald.com/news/gregory-doran-knighted-in-new-year-honours-9346680/,https://www.stratford-herald.com/news/gregory-doran-knighted-in-new-year-honours-9346680/,RSC’s Gregory Doran and Major General Julian Buczacki are among recipients of New Year Honours,RSC’s Gregory Doran and Major General Julian Buczacki are among recipients of New Year Honours,200,
1149157606,20240101,20240101000000,154,154,15,4,5,1,5,-5.22388059701492,"California, United States",US,USCA,,36.17,-119.746,CA,20240101000000,https://www.sbsun.com/2023/12/31/lowriders-as-well-as-those-with-expired-registration-tags-get-a-break-2024-rings-in-new-traffic-laws/,https://www.sbsun.com/2023/12/31/lowriders-as-well-as-those-with-expired-registration-tags-get-a-break-2024-rings-in-new-traffic-laws/,2024 rings in new traffic laws; from lowriders to registration tags – San Bernardino Sun,California legislators adopted new laws for the driving public that take effect in the new year.,200,
1149157607,20240101,20240101000000,042,042,04,1,2,1,2,-5.57491289198606,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101000000,https://www.telegraph.co.uk/opinion/2023/12/31/2024-will-be-a-critical-year-for-the-west-and-the-world/,https://www.telegraph.co.uk/opinion/2023/12/31/2024-will-be-a-critical-year-for-the-west-and-the-world/,,,403,bad_status_or_empty:403
1149157614,20240101,20240101000000,042,042,04,1,2,1,2,-2.96296296296296,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20240101000000,https://news.yahoo.com/eve-fireworks-london-watch-live-233000420.html,https://news.yahoo.com/eve-fireworks-london-watch-live-233000420.html,Your privacy choices,,200,
1149157618,20240101,20240101000000,010,010,01,1,12,2,12,-4.49438202247191,"Capitol Hill, District of Columbia, United States",US,USDC,,38.889,-77.0003,529313,20240101000000,https://www.aol.com/graham-calls-biden-administration-tell-225109435.html,https://www.aol.com/graham-calls-biden-administration-tell-225109435.html,Your privacy choices,,200,
1149157619,20240101,20240101000000,020,020,02,1,10,2,10,-1.78173719376392,"Ottawa, Ontario, Canada",CA,CA08,12755,45.4167,-75.7,-570760,20240101000000,https://www.thompsoncitizen.net/national-news/senior-military-leader-canadians-overly-comfortable-as-global-security-shifts-8043539,https://www.thompsoncitizen.net/national-news/senior-military-leader-canadians-overly-comfortable-as-global-security-shifts-8043539,,,0,exception:SSLError
1149157621,20240101,20240101000000,036,036,03,1,5,1,5,3.14814814814814,"Copenhagen, Køavn*, Denmark",DA,DA05,15213,55.6667,12.5833,-2745636,20240101000000,https://news.yahoo.com/crown-prince-frederik-know-next-230453131.html,https://news.yahoo.com/crown-prince-frederik-know-next-230453131.html,Your privacy choices,,200,
1149157627,20240101,20240101000000,042,042,04,1,2,1,2,-1.3986013986014,United Kingdom,UK,UK,,54,-4,UK,20240101000000,https://www.aol.co.uk/rachel-riley-reflects-eve-feeling-214528229.html,https://www.aol.co.uk/rachel-riley-reflects-eve-feeling-214528229.html,Your privacy choices,,200,
1149157632,20240101,20240101000000,173,173,17,4,4,1,4,-2.660406885759,"Montego Bay, Saint James, Jamaica",JM,JM12,18429,18.4712,-77.9188,-3752832,20240101000000,https://jamaicans.com/top-local-jamaica-news-stories-2023/,https://jamaicans.com/top-local-jamaica-news-stories-2023/,The Top Local Jamaica News Stories of 2023,"In 2023, Jamaica experienced its strongest earthquake in over 50 years. An extensive investigation of the investment firm, Stocks and Securities Limited rocked the financial sector as many investors, including Olympic champion Usain Bolt, were robbed of substantial amounts of money by a company employee.",200,
1149157641,20240101,20240101000000,036,036,03,1,4,1,4,1.08808950877894,"Mountain View, California, United States",US,USCA,,34.5064,-117.359,246299,20240101000000,https://www.funkytaurusmedia.com/shop_content.php?coID=3&XTCsid=h3bv39769s593c70pnjmtp7gj3,https://www.funkytaurusmedia.com/shop_content.php?coID=3&XTCsid=h3bv39769s593c70pnjmtp7gj3,Funky Taurus Media  - Music Photo Agency  &  Products - AGB,,200,
1149157644,20240101,20240101000000,042,042,04,1,10,1,10,-1.73913043478261,,,,,,,,20240101000000,https://www.echo-news.co.uk/news/24020353.chadwell-st-mary-crash-bus-moped-new-years-eve/,https://www.echo-news.co.uk/news/24020353.chadwell-st-mary-crash-bus-moped-new-years-eve/,Chadwell St Mary crash between bus and moped on New Year’s Eve | Echo,ESSEX police on the scene of a serious collision in a Chadwell St Mary in the Thurrock borough.,200,
1149157645,20240101,20240101000000,057,057,05,1,10,1,10,1.29449838187703,"Hanover, Niedersachsen, Germany",GM,GM06,40698,52.3667,9.71667,-1785903,20240101000000,https://www.funkytaurusmedia.com/shop_content.php?coID=2&XTCsid=h3bv39769s593c70pnjmtp7gj3,https://www.funkytaurusmedia.com/shop_content.php?coID=2&XTCsid=h3bv39769s593c70pnjmtp7gj3,Funky Taurus Media  - Music Photo Agency  &  Products - Datenschutz,,200,
1149157648,20240101,20240101000000,111,111,11,3,4,2,4,-5.89123867069486,"Red Sea, Djibouti (general), Djibouti",DJ,DJ00,25312,19,39.5,-2037160,20240101000000,https://www.newcastleherald.com.au/story/8473529/houthi-ships-sunk-as-us-repels-attack-on-cargo-vessel/,https://www.newcastleherald.com.au/story/8473529/houthi-ships-sunk-as-us-repels-attack-on-cargo-vessel/,"Houthi ships sunk as US repels attack on cargo vessel | Newcastle Herald | Newcastle, NSW",US helicopters have repelled an attack by Iran-backed Houthi militants on a Maersk container vessel in the Red...,200,
1149157649,20240101,20240101000000,130,130,13,3,10,1,10,-13.4146341463415,Ukraine,UP,UP,,49,32,UP,20240101000000,https://news.yahoo.com/dozens-shaheds-flying-over-ukraine-223111473.html,https://news.yahoo.com/dozens-shaheds-flying-over-ukraine-223111473.html,Your privacy choices,,200,
1149157654,20240101,20240101000000,060,060,06,2,1,1,1,-1.53139356814701,"Kwara, Zamfara, Nigeria",NI,NI57,191424,12.3337,6.28493,-2017020,20240101000000,https://igberetvnews.com/1460357/ndlea-arrests-qatar-based-drug-trafficker-intercepts-consignments/,https://igberetvnews.com/1460357/ndlea-arrests-qatar-based-drug-trafficker-intercepts-consignments/,"NDLEA Arrests Qatar-Based Drug Trafficker, Intercepts Consignments – Igbere TV","Hours before the new year, agents of the National Drug Law Enforcement Agency (NDLEA) thwarted the illicit activities of Qatar-based businessman Agu Evidence Amobi and another individual, Uchegbu Onye",200,
1149157663,20240101,20240101000000,042,042,04,1,10,1,10,-6.97230181470869,Israel,IS,IS,,31.5,34.75,IS,20240101000000,https://themedialine.org/mideast-mindset/the-concept-of-peace-at-any-cost-brought-us-disaster/,https://themedialine.org/mideast-mindset/the-concept-of-peace-at-any-cost-brought-us-disaster/,The Concept of 'Peace at Any Cost' Brought Us Disaster - The Media Line,"In recent years, Israel’s political leaders, supported by […]",200,
1149157669,20240101,20240101000000,051,051,05,1,10,1,10,-0.45967404931049,"Luhansk, Luhans'ka Oblast', Ukraine",UP,UP14,25090,48.567,39.3171,-1045160,20240101000000,https://news.yahoo.com/zelenskyy-next-enemy-experience-fury-220100347.html,https://news.yahoo.com/zelenskyy-next-enemy-experience-fury-220100347.html,Your privacy choices,,200,
1149157671,20240101,20240101000000,020,020,02,1,2,1,2,-7.71929824561404,"North Carolina, United States",US,USNC,,35.6411,-79.8431,NC,20240101000000,https://news.yahoo.com/north-carolina-pastor-attempted-stick-212404661.html,https://news.yahoo.com/north-carolina-pastor-attempted-stick-212404661.html,Your privacy choices,,200,
1149157673,20240101,20240101000000,036,036,03,1,10,1,10,2.95857988165681,"Brooklyn, Washington, United States",US,USWA,WA049,46.7762,-123.51,1510840,20240101000000,https://www.funkytaurusmedia.com/product_info.php?info=p50_funky-taurus-----george-clinton-----ufo-brooklyn---------exclusiv.html&XTCsid=h3bv39769s593c70pnjmtp7gj3,https://www.funkytaurusmedia.com/product_info.php?info=p50_funky-taurus-----george-clinton-----ufo-brooklyn---------exclusiv.html&XTCsid=h3bv39769s593c70pnjmtp7gj3,Funky Taurus Media  - Music Photo Agency  &  Products - Funky Taurus  &  George Clinton  -  UFO Brooklyn     -   exclusiv,,200,
1149157674,20240101,20240101000000,036,036,03,1,2,1,2,6.15942028985507,"Tennessee, United States",US,USTN,,35.7449,-86.7489,TN,20240101000000,https://www.ksks.com/news/new-years-eve-live-nashvilles-big-bash-reveals-star-studded-collabs/,https://www.ksks.com/news/new-years-eve-live-nashvilles-big-bash-reveals-star-studded-collabs/,,,404,bad_status_or_empty:404
1149157675,20240101,20240101000000,040,040,04,1,5,1,5,3.84615384615385,,,,,,,,20240101000000,https://news.yahoo.com/hancock-kelley-2023-end-review-221301583.html,https://news.yahoo.com/hancock-kelley-2023-end-review-221301583.html,Your privacy choices,,200,
1149157677,20240101,20240101000000,040,040,04,1,4,1,4,-1.45939086294416,"Phoenix, Arizona, United States",US,USAZ,AZ013,33.4484,-112.074,44784,20240101000000,https://screenrant.com/harry-potter-chamber-of-secrets-scenes-important-later/,https://screenrant.com/harry-potter-chamber-of-secrets-scenes-important-later/,10 Scenes In Chamber Of Secrets That Become Important Later In Harry Potter,"The Harry Potter universe is very well-drawn, and the second installment, Harry Potter and the Chamber of Secrets, foreshadows many important scenes.",200,
1149157682,20240101,20240101000000,042,042,04,1,5,1,5,-6.06060606060606,,,,,,,,20240101000000,https://news.yahoo.com/motorcyclist-hits-traffic-sign-during-185800095.html,https://news.yahoo.com/motorcyclist-hits-traffic-sign-during-185800095.html,Your privacy choices,,200,
1149157689,20240101,20240101000000,043,043,04,1,4,1,4,6.8235294117647,"Chattanooga, Tennessee, United States",US,USTN,TN065,35.0456,-85.3097,1307240,20240101000000,https://103gbfrocks.com/ixp/76/p/this-stunning-underground-waterfall-in-tennessee-is-the-tallest-in-the-united-states/,https://103gbfrocks.com/ixp/76/p/this-stunning-underground-waterfall-in-tennessee-is-the-tallest-in-the-united-states/,This Stunning Underground Waterfall in TN is the Tallest in U.S.,This natural wonder is an amazing sight to see in person. A huge waterfall inside of a mountain? Add Ruby Falls to the top of your list of Places to Visit in 2024.,200,
1149157697,20240101,20240101000000,112,112,11,3,6,1,6,0,"Colorado, United States",US,USCO,,39.0646,-105.327,CO,20240101000000,https://news.yahoo.com/lauren-boeberts-district-switch-could-225536317.html,https://news.yahoo.com/lauren-boeberts-district-switch-could-225536317.html,Your privacy choices,,200,
1149157699,20240101,20240101000000,183,183,18,4,2,1,2,-9.43396226415094,"Michigan, United States",US,USMI,,43.3504,-84.5603,MI,20240101000000,https://www.wsls.com/news/2023/12/31/michigan-home-explosion-heard-for-miles-kills-4-and-injures-2-police-say/,https://www.wsls.com/news/2023/12/31/michigan-home-explosion-heard-for-miles-kills-4-and-injures-2-police-say/,"Michigan home explosion heard for miles kills 4 and injures 2, police say",Police say four people died and two others have been injured in a Michigan house explosion that could be heard miles away.,200,
1149157701,20240101,20240101000000,190,190,19,4,10,1,10,-8.82352941176471,"Winston-Salem, North Carolina, United States",US,USNC,,36.0999,-80.2442,997498,20240101000000,https://news.yahoo.com/greensboro-officer-killed-while-confronting-215051371.html,https://news.yahoo.com/greensboro-officer-killed-while-confronting-215051371.html,Your privacy choices,,200,
1149157711,20240101,20240101000000,051,051,05,1,70,7,70,-0.975638364579161,"Canberra, Australian Capital Territory, Australia",AS,AS01,4940,-35.2833,149.217,-1563952,20240101000000,https://www.araratadvertiser.com.au/story/8472193/changes-to-vaping-superannuation-welfare-and-more-in-2024/?cs=9676,https://www.araratadvertiser.com.au/story/8472193/changes-to-vaping-superannuation-welfare-and-more-in-2024/?cs=9676,"The Ararat Advocate | West Vic News | Ararat & Stawell, Grampians to the Pyrenees. Ararat Advocate, Advertiser, Stawell Times-News.",,200,
1149157741,20240101,20240101000000,036,036,03,1,14,7,14,-5.95818941259687,"Adelaide, South Australia, Australia",AS,AS05,5256,-34.9333,138.6,-1555188,20240101000000,https://www.nvi.com.au/story/8473422/driver-charged-over-two-killed-in-truck-and-train-crash/?cs=9676,https://www.nvi.com.au/story/8473422/driver-charged-over-two-killed-in-truck-and-train-crash/?cs=9676,"Driver charged over two killed in truck and train crash | Namoi Valley Independent | Gunnedah, NSW",A truck driver has been charged over a derailment that killed two train drivers near the South Australia-NSW...,200,
1149157770,20240101,20240101000000,074,074,07,2,10,1,10,-3.15682281059063,Bangladesh,BG,BG,,24,90,BG,20240101000000,https://www.eurasiareview.com/01012024-bangladesh-army-reluctant-of-election-deployment-oped/,https://www.eurasiareview.com/01012024-bangladesh-army-reluctant-of-election-deployment-oped/,,,403,bad_status_or_empty:403
1149157771,20240101,20240101000000,057,057,05,1,3,1,3,4.36507936507936,"Davao, Davao City, Philippines",RP,RPC3,24267,7.07306,125.613,-2424066,20240101000000,https://business.inquirer.net/439187/cebu-pacific-completes-aircraft-deliveries-for-2023,https://business.inquirer.net/439187/cebu-pacific-completes-aircraft-deliveries-for-2023,,,403,bad_status_or_empty:403
1149157776,20240101,20240101000000,130,130,13,3,10,1,10,-0.34246575342465,,,,,,,,20240101000000,https://www.eastbaytimes.com/2023/12/31/rain-expected-to-return-to-the-bay-area-tuesday-but-no-concerns-yet-about-flooding-or-high-surf/,https://www.eastbaytimes.com/2023/12/31/rain-expected-to-return-to-the-bay-area-tuesday-but-no-concerns-yet-about-flooding-or-high-surf/,Rain expected to return to the Bay Area Tuesday,"The amount of rain falling in the middle of this week should be ""beneficial,"" and any coastal flooding should be ""minimal,"" the National Weather Service says.",200,
1149157780,20240101,20240101000000,020,020,02,1,5,1,5,0.83565459610027,,,,,,,,20240101000000,https://www.shockya.com/news/2023/12/31/wall-street-whistleblower-wolf-of-wall-street-exposes-pelosis-stock-magic-are-the-cards-stacked-against-ordinary-investors/,https://www.shockya.com/news/2023/12/31/wall-street-whistleblower-wolf-of-wall-street-exposes-pelosis-stock-magic-are-the-cards-stacked-against-ordinary-investors/,Wall Street Whistleblower 'Wolf of Wall Street' Exposes Pelosi's Stock Magic: Are the Cards Stacked Against Ordinary Investors?,"In the fast-paced world of stock trading, even a seasoned player like Jordan Belfort, famously known as ""The Wolf of Wall Street,"" is raising eyebrows at Delve into the explosive claims of 'The Wolf of Wall Street' as he questions the timing of Nancy Pelosi's stock triumphs. Explore the call for transparency and discover a safer investment alternative in the S&P 500. Are the cards stacked against ordinary investors?",200,
1149157781,20240101,20240101000000,020,020,02,1,5,1,5,-9.02830910482022,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20240101000000,https://www.theblaze.com/columns/opinion/macintyre-the-gulag-comes-to-you,https://www.theblaze.com/columns/opinion/macintyre-the-gulag-comes-to-you,MacIntyre: The gulag comes to you | Blaze Media,"During a recent show a viewer asked me, “When do you think we will see the open political oppression of conservatives?” My reply was simple: “That future has already arrived.” When people imagine a total state, they usually envision a dystopian science fiction novel full of jackbooted thugs and ...",200,
1149157784,20240101,20240101000000,040,040,04,1,10,1,10,-1.10375275938189,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://929thelake.com/ixp/36/p/rayne-daiquiri-shop-finds-clever-way-around-sunday-alcohol-sales-ban-on-nye/,https://929thelake.com/ixp/36/p/rayne-daiquiri-shop-finds-clever-way-around-sunday-alcohol-sales-ban-on-nye/,Rayne Daiquiri Shop Finds Clever Way Around Sunday Alcohol Ban,A local daiquiri shop in Rayne is turning heads with its inventive response to a city law that prohibits the sale of hard liquor on Sundays.,200,
1149157785,20240101,20240101000000,070,070,07,2,5,1,5,4.5090909090909,"Tboli, South Cotabato, Philippines",RP,RP70,24271,6.2,124.833,-2457167,20240101000000,https://mb.com.ph/2023/12/31/get-to-know-the-tboli-town-that-has-successfully-sold-itself,https://mb.com.ph/2023/12/31/get-to-know-the-tboli-town-that-has-successfully-sold-itself,,,403,bad_status_or_empty:403
1149157799,20240101,20240101000000,192,192,19,4,2,1,2,-4.57614403600901,United States,US,US,,39.828175,-98.5795,US,20240101000000,https://www.theblaze.com/columns/opinion/macintyre-bud-light-is-trapped-in-a-hell-of-its-own-making,https://www.theblaze.com/columns/opinion/macintyre-bud-light-is-trapped-in-a-hell-of-its-own-making,MacIntyre: Bud Light is trapped in a hell of its own making | Blaze Media,"Anheuser-Bush executives have trapped themselves in a corporate hell of their own making, and it is difficult not to enjoy the schadenfreude. The company was stripped of its LGBTQ+ rating from the Human Rights Campaign after wavering ever so slightly in its support for the trans agenda. The Corporat...",200,
1149157812,20240101,20240101000000,090,090,09,2,20,2,20,-2.48687055915972,Canada,CA,CA,,60,-96,CA,20240101000000,https://www.timescolonist.com/bc-news/edmonton-transit-passenger-critically-injured-after-falling-out-the-back-door-police-8043647,https://www.timescolonist.com/bc-news/edmonton-transit-passenger-critically-injured-after-falling-out-the-back-door-police-8043647,,,403,bad_status_or_empty:403
1149157815,20240101,20240101000000,020,020,02,1,2,2,2,0,"Helsinki, Eteläuomen Läi, Finland",FI,FI13,16230,60.1756,24.9342,-1364995,20240101000000,https://www.thompsoncitizen.net/national-news/quebec-city-looks-to-finlands-successful-approach-to-ending-homelessness-8043627,https://www.thompsoncitizen.net/national-news/quebec-city-looks-to-finlands-successful-approach-to-ending-homelessness-8043627,,,0,exception:SSLError
1149157822,20240101,20240101000000,051,051,05,1,10,1,10,-0.48465266558966,,,,,,,,20240101000000,https://www.pembrokeobserver.com/news/grandma-gail-takes-the-plunge-at-portsmouth-olympic-harbour,https://www.pembrokeobserver.com/news/grandma-gail-takes-the-plunge-at-portsmouth-olympic-harbour,Grandma Gail takes the plunge at Portsmouth Olympic Harbour | Pembroke Observer,Grandma Gail takes the plunge at Portsmouth Olympic Harbour,200,
1149157828,20240101,20240101000000,040,040,04,1,2,1,2,-3.04878048780488,"Beijing, Beijing, China",CH,CH22,13001,39.9289,116.388,-1898541,20240101000000,https://www.wsls.com/news/2023/12/31/xi-says-china-will-surely-be-reunified-with-self-ruled-taiwan-in-new-years-address/,https://www.wsls.com/news/2023/12/31/xi-says-china-will-surely-be-reunified-with-self-ruled-taiwan-in-new-years-address/,Xi says China will ‘surely be reunified’ with self-ruled Taiwan in New Year’s address,"Chinese President Xi Jinping says China would “surely be reunified” with Taiwan during his televised New Year’s address, renewing Beijing’s threats to take over the self-ruled island, which it considers its own.",200,
1149157861,20240101,20240101000000,020,020,02,1,20,1,10,-2.10526315789473,,,,,,,,20240101000000,https://cumbriacrack.com/2023/12/31/barrow-robbery-sparks-witness-appeal/,https://cumbriacrack.com/2023/12/31/barrow-robbery-sparks-witness-appeal/,,,403,bad_status_or_empty:403
1149157864,20240101,20240101000000,090,090,09,2,25,3,25,-6.66800442116897,,,,,,,,20240101000000,https://cumbriacrack.com/2023/12/31/police-probe-christmas-eve-robbery-in-barrow/,https://cumbriacrack.com/2023/12/31/police-probe-christmas-eve-robbery-in-barrow/,,,403,bad_status_or_empty:403
1149157867,20240101,20240101000000,153,153,15,4,5,1,5,-4.80769230769231,,,,,,,,20240101000000,https://www.aol.co.uk/devastated-jack-grealish-says-burglary-215808233.html,https://www.aol.co.uk/devastated-jack-grealish-says-burglary-215808233.html,Your privacy choices,,200,
1149157869,20240101,20240101000000,180,180,18,4,5,1,5,-3.03030303030303,,,,,,,,20240101000000,https://www.eyeonannapolis.net/2023/12/navigating-crime-trends-in-annapolis-and-anne-arundel-county-beyond-numbers-to-neighborhood-safety/,https://www.eyeonannapolis.net/2023/12/navigating-crime-trends-in-annapolis-and-anne-arundel-county-beyond-numbers-to-neighborhood-safety/,,,403,bad_status_or_empty:403
1149157873,20240101,20240101000000,193,193,19,4,20,2,20,-3.5613262230466,,,,,,,,20240101000000,https://www.journal-news.com/crime/man-arrested-after-swat-situation-in-franklin/FNDG3CKS45EETN5KOXKHIC6N5Y/,https://www.journal-news.com/crime/man-arrested-after-swat-situation-in-franklin/FNDG3CKS45EETN5KOXKHIC6N5Y/,GDPR Support,,200,
1149157877,20240101,20240101000000,190,190,19,4,22,2,22,-18.3365834842971,"Parramatta, New South Wales, Australia",AS,AS02,5066,-33.8167,151,-1594034,20240101000000,https://www.illawarramercury.com.au/story/8473412/police-raid-campbelltown-home-after-alleged-domestic-violence-attack/?cs=2568,https://www.illawarramercury.com.au/story/8473412/police-raid-campbelltown-home-after-alleged-domestic-violence-attack/?cs=2568,"Police raid Campbelltown home after alleged domestic violence attack | Illawarra Mercury | Wollongong, NSW","Police have seize guns, ammunition, and cannabis following an alleged domestic violence attack south of Sydney.",200,
