globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1151800655,20230116,20240116000000,129,129,12,3,10,1,10,0,,,,,,,,20240116000000,https://www.idahopress.com/eyeonboise/hundreds-attend-hearing-for-harmful-materials-in-libraries-bill-which-heads-to-house-for-a/article_2efa7da8-b3f3-11ee-8ded-9f0f233268d2.html
1151800656,20230116,20240116000000,129,129,12,3,6,1,6,-2.52583237657864,"Nampa, Idaho, United States",US,USID,ID027,43.5407,-116.563,396943,20240116000000,https://www.idahopress.com/news/local/hundreds-attend-hearing-for-harmful-materials-in-libraries-bill-which-heads-to-house-for-a/article_1bc215a8-b3de-11ee-b680-7bf1a247fde1.html
1151800658,20230116,20240116000000,043,043,04,1,4,1,4,3.80313199105146,"Pennsylvania, United States",US,USPA,,40.5773,-77.264,PA,20240116000000,https://www.wnep.com/article/news/local/luzerne-county/day-of-service-in-honor-of-rev-martin-luther-king-jr-jcc-kingston-misericordia-university-penn-state-wilkes-barre/523-9f7851ad-55e4-49c1-bbfe-cd8d4c628d62
1151800659,20230116,20240116000000,042,042,04,1,4,1,4,-1.5025041736227,"Vancouver, British Columbia, Canada",CA,CA02,12552,49.25,-123.133,-575268,20240116000000,https://www.grandforksgazette.ca/news/is-bc-unfairly-milking-an-international-student-cash-cow-7296933
1151800667,20230116,20240116000000,010,010,01,1,2,1,2,1.21951219512195,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,20240116000000,https://www.dailyexcelsior.com/jk-situation-under-control-increase-in-terrorism-in-rajouri-poonch-army-chief/
1151800670,20230116,20240116000000,114,114,11,3,5,1,5,-10.5263157894737,,,,,,,,20240116000000,https://www.offalyexpress.ie/news/tullamore-tribune/1395341/judge-refuses-to-wait-for-17-compensation-payment-from-offaly-shoplifter-s-dole.html
1151800671,20230116,20240116000000,020,020,02,1,40,4,40,1.2539184952978,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20240116000000,https://www.elystandard.co.uk/news/national/24051651.record-27-investors-back-call-shell-align-emissions-target-paris/
1151800673,20230116,20240116000000,129,129,12,3,4,1,4,-3.27074500302847,"Nampa, Idaho, United States",US,USID,ID027,43.5407,-116.563,396943,20240116000000,https://idahocapitalsun.com/2024/01/15/revived-harmful-to-minors-library-materials-bill-advances-in-idaho-legislature/
1151800676,20240109,20240116000000,111,111,11,3,12,2,12,-3.25415543575921,"Seoul, Soul-t'ukpyolsi, South Korea",KS,KS11,24984,37.5664,127,-716583,20240116000000,https://globalnews.ca/news/10227800/north-korea-south-korea-status-war/
1151800677,20240109,20240116000000,190,190,19,4,10,1,10,-3.13901345291479,Peru,PE,PE,,-10,-76,PE,20240116000000,https://www.caughtoffside.com/2024/01/15/solano-believes-24-year-old-joined-newcastle-at-a-difficult-stage/
1151800678,20240109,20240116000000,140,140,14,3,10,1,10,-7.08955223880597,Ukraine,UP,UP,,49,32,UP,20240116000000,https://www.tippmidwestradio.com/2024/01/15/scuffles-outside-rackett-hall-hotel-involving-gardai-protestors/
1151800680,20240109,20240116000000,111,111,11,3,16,2,16,-2.69644994016753,"Seoul, Soul-t'ukpyolsi, South Korea",KS,KS11,24984,37.5664,127,-716583,20240116000000,https://www.maitlandmercury.com.au/story/8487542/north-korea-reunification-with-south-not-possible/?cs=7607
1151800682,20240109,20240116000000,013,013,01,1,12,4,12,0.42553191489361,"Texas, United States",US,USTX,,31.106,-97.6475,TX,20240116000000,https://nebraska.tv/news/nation-world/texas-electric-grid-operator-issues-2nd-conservation-appeal-2024-13th-heat-cold-summer-energy-emergancy-ercot
1151800686,20240109,20240116000000,111,111,11,3,3,1,3,-2.03327171903882,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,20240116000000,https://www.maitlandmercury.com.au/story/8487361/mps-blamed-for-stoking-culture-war-over-australia-day/
