feature,importance,fold_id,horizon,model_name
num__acled_7d_lag,0.1415154,1,7,model5_xgboost_tuned
num__acled_28d_lag,0.23824818,1,7,model5_xgboost_tuned
num__riot_7d_lag,0.0063377423,1,7,model5_xgboost_tuned
num__riot_28d_lag,0.004781639,1,7,model5_xgboost_tuned
num__violence_7d_lag,0.005522211,1,7,model5_xgboost_tuned
num__violence_28d_lag,0.008408345,1,7,model5_xgboost_tuned
num__protest_fat_7d_lag,0.0,1,7,model5_xgboost_tuned
num__protest_fat_28d_lag,0.009508241,1,7,model5_xgboost_tuned
num__fx_pct_7d,0.004065387,1,7,model5_xgboost_tuned
num__fx_pct_30d,0.002606792,1,7,model5_xgboost_tuned
num__fx_pct_90d,0.008256758,1,7,model5_xgboost_tuned
num__fx_vol_7d,0.0053254114,1,7,model5_xgboost_tuned
num__fx_vol_30d,0.008650557,1,7,model5_xgboost_tuned
num__oil_brent_pct_14d,0.006972578,1,7,model5_xgboost_tuned
num__oil_brent_pct_30d,0.0067234295,1,7,model5_xgboost_tuned
num__yield_us10y,0.011466504,1,7,model5_xgboost_tuned
num__fx_pct_30d_z,0.0048469417,1,7,model5_xgboost_tuned
num__fx_vol_30d_z,0.008422585,1,7,model5_xgboost_tuned
num__oil_brent_pct_30d_z,0.0075064516,1,7,model5_xgboost_tuned
num__gdp_growth,0.011124706,1,7,model5_xgboost_tuned
num__gdp_per_capita_growth,0.012561156,1,7,model5_xgboost_tuned
num__inflation_cpi_yoy,0.00072400883,1,7,model5_xgboost_tuned
num__unemployment_total,0.009838195,1,7,model5_xgboost_tuned
num__unemployment_youth,0.010153035,1,7,model5_xgboost_tuned
num__unemployment_sa,0.0122341355,1,7,model5_xgboost_tuned
num__unemployment_sa_z,0.010786176,1,7,model5_xgboost_tuned
num__unemployment_rate,0.014060803,1,7,model5_xgboost_tuned
num__unemployment_rate_z,0.013762527,1,7,model5_xgboost_tuned
num__earnings_monthly,0.0036931168,1,7,model5_xgboost_tuned
num__earnings_monthly_z,0.005364278,1,7,model5_xgboost_tuned
num__political_stability_est,0.029575394,1,7,model5_xgboost_tuned
num__voice_accountability_est,0.02272743,1,7,model5_xgboost_tuned
num__government_effectiveness_est,0.009556808,1,7,model5_xgboost_tuned
num__rule_of_law_est,0.009817416,1,7,model5_xgboost_tuned
num__fx_pct_30d_x_instability,0.008720901,1,7,model5_xgboost_tuned
num__oil_brent_pct_30d_x_inflation,0.010542841,1,7,model5_xgboost_tuned
num__economic_stress_index,0.0060642827,1,7,model5_xgboost_tuned
num__economic_stress_index_z,0.0054026344,1,7,model5_xgboost_tuned
num__labour_conflict_index,0.007273652,1,7,model5_xgboost_tuned
num__labour_conflict_index_z,0.008674639,1,7,model5_xgboost_tuned
num__protest_mobilisation_index,0.009325117,1,7,model5_xgboost_tuned
num__protest_mobilisation_index_z,0.00788695,1,7,model5_xgboost_tuned
num__food_cpi_inflation,0.009690486,1,7,model5_xgboost_tuned
num__food_cpi_inflation_z,0.009920096,1,7,model5_xgboost_tuned
num__energy_cpi_inflation,0.010858691,1,7,model5_xgboost_tuned
num__energy_cpi_inflation_z,0.0107558025,1,7,model5_xgboost_tuned
num__month_sin,0.018577987,1,7,model5_xgboost_tuned
num__month_cos,0.027118297,1,7,model5_xgboost_tuned
num__fao_food_index_yoy,0.017761905,1,7,model5_xgboost_tuned
num__fao_cereals_index_yoy,0.0058663925,1,7,model5_xgboost_tuned
num__fao_oils_index_yoy,0.023622379,1,7,model5_xgboost_tuned
num__fao_food_index_yoy_above90,0.0,1,7,model5_xgboost_tuned
