country_iso3,date,food_cpi_inflation,energy_cpi_inflation
ABW,2017-01-01,,-5.09588369505779
ABW,2017-02-01,,-5.029948014766816
ABW,2017-03-01,,-4.511795945703745
ABW,2017-04-01,,-4.5178564694347
ABW,2017-05-01,,-4.4269408546363636
ABW,2017-06-01,,-4.6282066995389615
ABW,2017-07-01,,-4.574898403688588
ABW,2017-08-01,,-4.529991047448512
ABW,2017-09-01,,-4.747799593771152
ABW,2017-10-01,,-4.755549707712259
ABW,2017-11-01,,-4.8103025577922125
ABW,2017-12-01,,-4.655923920221905
ABW,2018-01-01,,0.44207786531029747
ABW,2018-02-01,,0.5582935850777959
ABW,2018-03-01,,-0.18374362824514767
ABW,2018-04-01,,-0.06023144673960035
ABW,2018-05-01,,-0.06514207882190037
ABW,2018-06-01,,0.012851183297413193
ABW,2018-07-01,,0.20058297514944368
ABW,2018-08-01,,0.18063726457928642
ABW,2018-09-01,,0.20139197393749253
ABW,2018-10-01,,0.20228533085986378
ABW,2018-11-01,,0.3927450709506841
ABW,2018-12-01,,0.8668203722578038
ABW,2019-01-01,,0.8683955452693182
ABW,2019-02-01,,0.6232372837899014
ABW,2019-03-01,,1.2856040062548146
ABW,2019-04-01,,1.128291261176706
ABW,2019-05-01,,1.2236916178605561
ABW,2019-06-01,,1.6447400935050371
ABW,2019-07-01,,1.407186809719141
ABW,2019-08-01,,1.364653023420792
ABW,2019-09-01,,1.398043330476173
ABW,2019-10-01,,1.7587914955636386
ABW,2019-11-01,,0.8482739639852133
ABW,2019-12-01,,1.23117673026929
ABW,2020-01-01,,-1.161946972074035
ABW,2020-02-01,,-0.9241655069679888
ABW,2020-03-01,,
ABW,2020-04-01,,
ABW,2020-05-01,,
ABW,2020-06-01,,
ABW,2020-07-01,,
ABW,2020-08-01,,
ABW,2020-09-01,,
ABW,2020-10-01,,
ABW,2020-11-01,,
ABW,2020-12-01,,
ABW,2021-01-01,,
ABW,2021-02-01,,
ABW,2021-03-01,,
ABW,2021-04-01,,
ABW,2021-05-01,,
ABW,2021-06-01,,
ABW,2021-07-01,,
ABW,2021-08-01,,
ABW,2021-09-01,,
ABW,2021-10-01,,
ABW,2021-11-01,,
ABW,2021-12-01,,
ABW,2022-01-01,,
ABW,2022-02-01,,
ABW,2022-03-01,,
ABW,2022-04-01,,
ABW,2022-05-01,,
ABW,2022-06-01,,
ABW,2022-07-01,,
ABW,2022-08-01,,
ABW,2022-09-01,,
ABW,2022-10-01,,
ABW,2022-11-01,,
ABW,2022-12-01,,
ABW,2023-01-01,,
ABW,2023-02-01,,
ABW,2023-03-01,,
ABW,2023-04-01,,
ABW,2023-05-01,,
ABW,2023-06-01,,
ABW,2023-07-01,,
ABW,2023-08-01,,
ABW,2023-09-01,,
ABW,2023-10-01,,
ABW,2023-11-01,,
ABW,2023-12-01,,
ABW,2024-01-01,,
ABW,2024-02-01,,
ABW,2024-03-01,,
ABW,2024-04-01,,
ABW,2024-05-01,,
ABW,2024-06-01,,
ABW,2024-07-01,,
ABW,2024-08-01,,
ABW,2024-09-01,,
ABW,2024-10-01,,
ABW,2024-11-01,,
ABW,2024-12-01,,
ABW,2025-01-01,,
ABW,2025-02-01,,
ABW,2025-03-01,,
AFG,2017-01-01,4.730651103765182,
AFG,2017-02-01,4.553672604217929,
AFG,2017-03-01,10.028383305689825,
AFG,2017-04-01,9.367879885361074,
AFG,2017-05-01,10.723921246510448,
AFG,2017-06-01,10.87935967066267,
AFG,2017-07-01,7.353893549987589,
AFG,2017-08-01,5.862761023128238,
AFG,2017-09-01,5.377639917482879,
AFG,2017-10-01,5.4355708522792145,
AFG,2017-11-01,4.663379988996974,
AFG,2017-12-01,4.513231955463581,
AFG,2018-01-01,5.536004730294342,
AFG,2018-02-01,4.356705530757843,
AFG,2018-03-01,-1.6231422845129795,
AFG,2018-04-01,-2.5622631393386497,
AFG,2018-05-01,-3.6301950663207405,
AFG,2018-06-01,-4.995025169238254,
AFG,2018-07-01,-3.473386914041121,
AFG,2018-08-01,-2.546416478973601,
AFG,2018-09-01,-1.9277387314056371,
AFG,2018-10-01,-0.8509598728114853,
AFG,2018-11-01,-0.5343894270612548,
AFG,2018-12-01,-0.3006219301430413,
AFG,2019-01-01,-0.41347344012608866,
AFG,2019-02-01,0.14087342596402763,
AFG,2019-03-01,2.6216059617060417,
AFG,2019-04-01,5.115616194257444,
AFG,2019-05-01,7.040565687981726,
AFG,2019-06-01,5.855055435647816,
AFG,2019-07-01,4.705319420090004,
AFG,2019-08-01,5.282653251880909,
AFG,2019-09-01,4.133009298451906,
AFG,2019-10-01,2.846178346331385,
AFG,2019-11-01,3.295214908090416,
AFG,2019-12-01,4.914624410466373,
AFG,2020-01-01,5.9853489034304985,
AFG,2020-02-01,6.428873918586486,
AFG,2020-03-01,5.072792904153345,
AFG,2020-04-01,16.562751353040284,
AFG,2020-05-01,12.924872530411658,
AFG,2020-06-01,12.879739874569696,
AFG,2020-07-01,12.706463226251419,
AFG,2020-08-01,10.896275160184764,
AFG,2020-09-01,9.405178554440386,
AFG,2020-10-01,9.75086851687632,
AFG,2020-11-01,9.872645859229824,
AFG,2020-12-01,7.503424516687884,
AFG,2021-01-01,6.097938348102194,
AFG,2021-02-01,5.320133158389284,
AFG,2021-03-01,4.964754566291507,
AFG,2021-04-01,-4.73310048580956,
AFG,2021-05-01,-1.5994402988344647,
AFG,2021-06-01,-0.36740402811512585,
AFG,2021-07-01,2.0274677204412006,
AFG,2021-08-01,2.948889719853476,
AFG,2021-09-01,9.803860074490188,
AFG,2021-10-01,12.892184425733365,
AFG,2021-11-01,12.711813324822918,
AFG,2021-12-01,17.739357869249538,
AFG,2022-01-01,19.960326540200924,
AFG,2022-02-01,21.864799010094682,
AFG,2022-03-01,21.45419961436432,
AFG,2022-04-01,23.78500020055352,
AFG,2022-05-01,23.2322508725731,
AFG,2022-06-01,25.966047570183704,
AFG,2022-07-01,24.88341297499175,
AFG,2022-08-01,23.15055496200793,
AFG,2022-09-01,17.587713085490275,
AFG,2022-10-01,12.290634555981184,
AFG,2022-11-01,10.82289058162289,
AFG,2022-12-01,5.208525623317151,
AFG,2023-01-01,3.1749803411031063,
AFG,2023-02-01,3.0909234550531073,
AFG,2023-03-01,2.3852656552861395,
AFG,2023-04-01,-3.2960477219492135,
AFG,2023-05-01,-5.849301740182455,
AFG,2023-06-01,-11.157823950205458,
AFG,2023-07-01,-12.644822217934614,
AFG,2023-08-01,-11.175701801427385,
AFG,2023-09-01,-13.323986139565513,
AFG,2023-10-01,-12.0831217715197,
AFG,2023-11-01,-13.962612521028205,
AFG,2023-12-01,-14.543546444227474,
AFG,2024-01-01,-15.071067055863285,
AFG,2024-02-01,-14.373551450390842,
AFG,2024-03-01,-13.75304401279397,
AFG,2024-04-01,-12.138969645945375,
AFG,2024-05-01,-11.46204250482632,
AFG,2024-06-01,-9.770695417159525,
AFG,2024-07-01,-10.466572371678595,
AFG,2024-08-01,-11.45044673350284,
AFG,2024-09-01,-8.16077563059412,
AFG,2024-10-01,-9.153127739005583,
AFG,2024-11-01,-7.034843843305638,
AFG,2024-12-01,-4.509165124565262,
AFG,2025-01-01,-2.9935650457758145,
AFG,2025-02-01,,
AFG,2025-03-01,,
AGO,2017-01-01,51.79969247973162,
AGO,2017-02-01,48.01575480753317,
AGO,2017-03-01,46.20044402156675,
AGO,2017-04-01,43.57451238555989,
AGO,2017-05-01,41.20265955888813,
AGO,2017-06-01,39.779490958562455,
AGO,2017-07-01,37.38692098092642,
AGO,2017-08-01,38.015891998192885,
AGO,2017-09-01,39.29450156691099,
AGO,2017-10-01,39.98688127554368,
AGO,2017-11-01,37.91894476181137,
AGO,2017-12-01,34.79279023559465,
AGO,2018-01-01,32.5606022238081,
AGO,2018-02-01,29.599731663685148,
AGO,2018-03-01,26.685033733214738,
AGO,2018-04-01,26.235871187886552,
AGO,2018-05-01,24.529123796880192,
AGO,2018-06-01,23.39558367297281,
AGO,2018-07-01,22.093968782848417,
AGO,2018-08-01,20.599222089575232,
AGO,2018-09-01,17.920160645557146,
AGO,2018-10-01,15.965614186851207,
AGO,2018-11-01,16.13958366664887,
AGO,2018-12-01,17.77660787926647,
AGO,2019-01-01,17.916746261917595,
AGO,2019-02-01,18.480942767914144,
AGO,2019-03-01,18.832836740984284,
AGO,2019-04-01,18.31666441411002,
AGO,2019-05-01,17.615311578631765,
AGO,2019-06-01,17.28042067208939,
AGO,2019-07-01,17.187829957278144,
AGO,2019-08-01,17.187699578490246,
AGO,2019-09-01,17.234039198372784,
AGO,2019-10-01,17.245559233530706,
AGO,2019-11-01,17.72944345802978,
AGO,2019-12-01,17.627952022647708,
AGO,2020-01-01,18.301914580265088,
AGO,2020-02-01,19.214190015727837,
AGO,2020-03-01,20.156781370684197,
AGO,2020-04-01,22.003598252277467,
AGO,2020-05-01,23.408112395196,
AGO,2020-06-01,24.785977497863286,
AGO,2020-07-01,25.872584624767825,
AGO,2020-08-01,26.701363815959777,
AGO,2020-09-01,26.752834528116654,
AGO,2020-10-01,27.514447802343444,
AGO,2020-11-01,27.439381135019158,
AGO,2020-12-01,26.66886226027918,
AGO,2021-01-01,25.997485278922404,
AGO,2021-02-01,25.662700642544788,
AGO,2021-03-01,24.98440947903675,
AGO,2021-04-01,24.05786245962267,
AGO,2021-05-01,23.58267535806098,
AGO,2021-06-01,23.160530422968527,
AGO,2021-07-01,23.07531357714714,
AGO,2021-08-01,22.47540190332813,
AGO,2021-09-01,23.23486343668426,
AGO,2021-10-01,23.211575642918024,
AGO,2021-11-01,23.562538257498478,
AGO,2021-12-01,23.78,
AGO,2022-01-01,25.149688765932222,
AGO,2022-02-01,25.691649654904246,
AGO,2022-03-01,26.151203738353622,
